ic,month,binding_ref,binding_new,near_ref,near_new,applicable_ref,applicable_new,constraint_binding_mismatches,constraint_near_mismatches
NSW1-QLD1,2024-09,4211,4211,2579,2579,920054,920054,0,0
NSW1-QLD1,2024-10,12290,12290,1142,1142,1167651,1167651,0,0
NSW1-QLD1,2024-11,5074,5074,2291,2291,895871,895871,0,0
NSW1-QLD1,2024-12,2572,2572,2437,2437,845138,845138,0,0
NSW1-QLD1,2025-01,3260,3260,2013,2013,840464,840464,0,0
NSW1-QLD1,2025-02,1698,1698,2938,2938,697666,697666,0,0
NSW1-QLD1,2025-03,1710,1710,1885,1885,790117,790117,0,0
NSW1-QLD1,2025-04,1224,1224,2152,2152,724174,724174,0,0
NSW1-QLD1,2025-05,1724,1724,1397,1397,768922,768922,0,0
NSW1-QLD1,2025-06,2570,2570,3859,3859,749840,749840,0,0
NSW1-QLD1,2025-07,2730,2730,4025,4025,788098,788098,0,0
NSW1-QLD1,2025-08,4092,4092,4317,4317,805404,805404,0,0
NSW1-QLD1,2025-09,10660,10660,1497,1497,1001562,1001562,0,0
NSW1-QLD1,2025-10,13653,13653,1473,1473,1065626,1065626,0,0
NSW1-QLD1,2025-11,8160,8160,1972,1972,892218,892218,0,0
NSW1-QLD1,2025-12,2470,2470,3064,3064,703930,703930,0,0
NSW1-QLD1,2026-01,2659,2659,3096,3096,712264,712264,0,0
NSW1-QLD1,2026-02,2351,2351,3353,3353,649344,649344,0,0
NSW1-QLD1,2026-03,20018,20018,2671,2671,948235,948235,0,0
NSW1-QLD1,2026-04,21745,21745,3366,3366,921060,921060,0,0
NSW1-QLD1,2026-05,19038,19038,4844,4844,1040300,1040300,0,0
NSW1-QLD1,2026-06,18941,18941,6535,6535,956533,956533,0,0
NSW1-QLD1,2026-07,3728,3728,4997,4997,824546,824546,0,0
NSW1-QLD1,2026-08,3038,3038,6308,6308,816711,816711,0,0
N-Q-MNSP1,2024-09,5340,5340,2826,2826,828074,828074,0,0
N-Q-MNSP1,2024-10,12594,12594,1302,1302,1119502,1119502,0,0
N-Q-MNSP1,2024-11,5395,5395,2657,2657,943373,943373,0,0
N-Q-MNSP1,2024-12,6721,6721,4072,4072,930658,930658,0,0
N-Q-MNSP1,2025-01,10183,10183,3111,3111,930603,930603,0,0
N-Q-MNSP1,2025-02,3543,3543,4126,4126,782956,782956,0,0
N-Q-MNSP1,2025-03,4415,4415,2284,2284,883799,883799,0,0
N-Q-MNSP1,2025-04,2538,2538,2327,2327,848202,848202,0,0
N-Q-MNSP1,2025-05,2315,2315,1531,1531,927859,927859,0,0
N-Q-MNSP1,2025-06,2388,2388,3320,3320,901911,901911,0,0
N-Q-MNSP1,2025-07,4633,4633,4491,4491,946047,946047,0,0
N-Q-MNSP1,2025-08,6100,6100,4456,4456,958065,958065,0,0
N-Q-MNSP1,2025-09,5366,5366,2880,2880,1008881,1008881,0,0
N-Q-MNSP1,2025-10,6952,6952,2789,2789,1051007,1051007,0,0
N-Q-MNSP1,2025-11,5823,5823,3475,3475,953679,953679,0,0
N-Q-MNSP1,2025-12,4805,4805,2767,2767,890822,890822,0,0
N-Q-MNSP1,2026-01,5366,5366,3676,3676,905896,905896,0,0
N-Q-MNSP1,2026-02,3580,3580,3379,3379,817714,817714,0,0
N-Q-MNSP1,2026-03,5950,5950,2273,2273,1005660,1005660,0,0
N-Q-MNSP1,2026-04,3357,3357,3784,3784,957659,957659,0,0
N-Q-MNSP1,2026-05,3848,3848,4058,4058,1055023,1055023,0,0
N-Q-MNSP1,2026-06,2784,2784,3094,3094,982620,982620,0,0
N-Q-MNSP1,2026-07,5256,5256,4165,4165,1020588,1020588,0,0
N-Q-MNSP1,2026-08,3593,3593,5928,5928,1057757,1057757,0,0
VIC1-NSW1,2024-09,5774,5774,6241,6241,1742987,1742987,0,0
VIC1-NSW1,2024-10,7519,7519,10600,10600,2189295,2189295,0,0
VIC1-NSW1,2024-11,6994,6994,9221,9221,2096195,2096195,0,0
VIC1-NSW1,2024-12,7109,7109,9797,9797,2060518,2060518,0,0
VIC1-NSW1,2025-01,6505,6505,7807,7807,1923853,1923853,0,0
VIC1-NSW1,2025-02,5971,5971,6213,6213,1630901,1630901,0,0
VIC1-NSW1,2025-03,5743,5743,7016,7016,1747378,1747378,0,0
VIC1-NSW1,2025-04,3457,3457,4180,4180,1683107,1683107,0,0
VIC1-NSW1,2025-05,5228,5228,5802,5802,1728089,1728089,0,0
VIC1-NSW1,2025-06,4254,4254,5753,5753,1641664,1641664,0,0
VIC1-NSW1,2025-07,5938,5938,8538,8538,1661762,1661762,0,0
VIC1-NSW1,2025-08,4606,4606,4894,4894,1448863,1448863,0,0
VIC1-NSW1,2025-09,4485,4485,5846,5846,1531727,1531727,0,0
VIC1-NSW1,2025-10,6995,6995,5872,5872,1458753,1458753,0,0
VIC1-NSW1,2025-11,7049,7049,6013,6013,1451533,1451533,0,0
VIC1-NSW1,2025-12,10066,10066,7147,7147,1404805,1404805,0,0
VIC1-NSW1,2026-01,9623,9623,8362,8362,1497447,1497447,0,0
VIC1-NSW1,2026-02,7947,7947,6082,6082,1327581,1327581,0,0
VIC1-NSW1,2026-03,7237,7237,5001,5001,1426630,1426630,0,0
VIC1-NSW1,2026-04,7337,7337,6332,6332,1416094,1416094,0,0
VIC1-NSW1,2026-05,5280,5280,4904,4904,1656013,1656013,0,0
VIC1-NSW1,2026-06,5373,5373,5623,5623,1496375,1496375,0,0
VIC1-NSW1,2026-07,7109,7109,6599,6599,1555828,1555828,0,0
VIC1-NSW1,2026-08,6312,6312,5289,5289,1675792,1675792,0,0
V-SA,2024-09,5306,5306,1686,1686,1249994,1249994,0,0
V-SA,2024-10,3964,3964,3719,3719,1607076,1607076,0,0
V-SA,2024-11,2369,2369,1876,1876,1543938,1543938,0,0
V-SA,2024-12,2691,2691,2333,2333,1530284,1530284,0,0
V-SA,2025-01,3662,3662,3478,3478,1457841,1457841,0,0
V-SA,2025-02,4436,4436,4175,4175,1108339,1108339,0,0
V-SA,2025-03,2869,2869,2949,2949,1162758,1162758,0,0
V-SA,2025-04,3202,3202,3860,3860,1122516,1122516,0,0
V-SA,2025-05,3013,3013,4295,4295,1267262,1267262,0,0
V-SA,2025-06,4127,4127,5551,5551,1166010,1166010,0,0
V-SA,2025-07,16341,16341,19362,19362,1586217,1586217,0,0
V-SA,2025-08,11720,11720,13332,13332,1316720,1316720,0,0
V-SA,2025-09,3562,3562,5374,5374,1146169,1146169,0,0
V-SA,2025-10,4470,4470,5734,5734,1221347,1221347,0,0
V-SA,2025-11,4619,4619,6444,6444,1193856,1193856,0,0
V-SA,2025-12,6366,6366,7646,7646,1162410,1162410,0,0
V-SA,2026-01,7466,7466,7579,7579,1204464,1204464,0,0
V-SA,2026-02,7211,7211,8155,8155,1096342,1096342,0,0
V-SA,2026-03,5619,5619,7102,7102,1213126,1213126,0,0
V-SA,2026-04,4967,4967,6060,6060,1223638,1223638,0,0
V-SA,2026-05,4128,4128,5540,5540,1461455,1461455,0,0
V-SA,2026-06,9678,9678,10436,10436,1277876,1277876,0,0
V-SA,2026-07,12224,12224,12629,12629,1307966,1307966,0,0
V-SA,2026-08,7826,7826,8618,8618,1327167,1327167,0,0
V-S-MNSP1,2024-09,12256,12256,6101,6101,1590666,1590666,0,0
V-S-MNSP1,2024-10,10775,10775,11565,11565,2299116,2299116,0,0
V-S-MNSP1,2024-11,8631,8631,9384,9384,2213278,2213278,0,0
V-S-MNSP1,2024-12,12035,12035,13010,13010,2244630,2244630,0,0
V-S-MNSP1,2025-01,11191,11191,10217,10217,2050032,2050032,0,0
V-S-MNSP1,2025-02,9328,9328,8377,8377,1374904,1374904,0,0
V-S-MNSP1,2025-03,7782,7782,6629,6629,1472884,1472884,0,0
V-S-MNSP1,2025-04,6471,6471,6103,6103,1433559,1433559,0,0
V-S-MNSP1,2025-05,8289,8289,7967,7967,1581265,1581265,0,0
V-S-MNSP1,2025-06,9998,9998,12266,12266,1483414,1483414,0,0
V-S-MNSP1,2025-07,12890,12890,15401,15401,1772313,1772313,0,0
V-S-MNSP1,2025-08,9895,9895,9132,9132,1494991,1494991,0,0
V-S-MNSP1,2025-09,10763,10763,9962,9962,1441951,1441951,0,0
V-S-MNSP1,2025-10,11672,11672,8171,8171,1431643,1431643,0,0
