ic,name,direction,level,key,families,n_units_binding,n_units_setter,own_control_binding,own_control_setter,own_treated_binding,own_treated_setter,top3_binding,top3_setter,tier,treated_hours,binding_gate
N-Q-MNSP1,Directlink,forward,K1,ARMIDALE/LINE/86,N-ARTW_86,549,549,0.018113742157458004,0.0,0.04948391013964784,0.013964784456587736,N^^Q_ARTW_B1 (3% vs 2%); F_Q++86_L6 (2% vs 0%); F_Q++86_L60 (2% vs 0%),N>>NIL_33_34 (84% vs 85%); Q^NIL_GC (10% vs 11%); N>>87_966_96C (3% vs 0%),supported,278.0,ok
N-Q-MNSP1,Directlink,forward,K1,ARMIDALE/LINE/966,N-X_ARKK_CH_CB892A,166,166,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (2% vs 0%); Q^^TR_CLHA_-600 (0% vs 0%); N::Q_DMSR_1 (0% vs 0%),N>>NIL_33_34 (70% vs 70%); Q^NIL_GC (29% vs 29%); #R030861_001_RAMP_F (1% vs 0%),supported,85.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1,AVON/LINE/17,N-AVMA_17|N-X_4+17_WG_CLOSE|N-X_AVMA_KCTX|N-X_AVMA_SSWW,1204,1204,0.0,0.0,0.0002768549280177187,0.0,N>>NIL_33_34 (2% vs 3%); Q^^TR_CLHA_-600 (1% vs 0%); Q>>RGLC_BCCP_CLWU (1% vs 0%),Q^NIL_GC (84% vs 84%); N>>NIL_33_34 (13% vs 11%); N>96L_96R_967_89 (1% vs 1%),supported,622.5,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1,DAPTO/LINE/8,N-DTMN_8_15M,424,424,0.0,0.0,0.0,0.0,N::Q_LDTW_1 (1% vs 0%); #R032872_001_RAMP_F (0% vs 0%); #R032872_001_RAMP_V (0% vs 0%),Q^NIL_GC (83% vs 84%); N>>NIL_33_34 (10% vs 12%); N>>LDTM_33_34_OPEN (4% vs 0%),supported,230.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1,H3_BELMT/LINE/275KV_817,Q-BKBM,683,683,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (7% vs 3%); N_DLINK_ECS (4% vs 1%); N>96L_96R_967_89 (3% vs 1%),Q^NIL_GC (99% vs 95%); N>>LDTM_33_34_OPEN (1% vs 0%); F_NVS+LDTW_R5 (0% vs 0%),supported,391.5,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1,H4_MUGBA/LINE/275KV_836,CA_SYDS_57B55E34|Q-GBMU_835_836,1676,1676,0.0,0.0,0.0,0.0,N::Q_ARSR_1 (5% vs 1%); N>>NIL_33_34 (1% vs 2%); N_DLINK_ECS (1% vs 1%),Q^NIL_GC (99% vs 100%); F_NVS++85_R5 (0% vs 0%); F_NVS+85_R5 (0% vs 0%),supported,1171.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1,H58_LARC/LINE/275KV_8859,Q-LCCP_8859,108,108,0.0,0.0,0.14660493827160492,0.030864197530864196,Q>>LCCP_BCCP_CLWU (15% vs 0%); F_Q++LDTW_L60 (4% vs 1%); F_Q++LDTW_L6 (4% vs 1%),Q^NIL_GC (75% vs 79%); N>>NIL_33_34 (17% vs 17%); Q>>LCCP_BCCP_CLWU (3% vs 0%),supported,65.0,ok
N-Q-MNSP1,Directlink,forward,K1,H73_RAGL/LINE/275KV_8875,Q-RGLC_8875,188,188,0.0,0.0,0.10638297872340426,0.16932624113475175,Q>>RGLC_BCCP_CLWU (11% vs 0%); N::Q_ARDM_1 (1% vs 0%); #R031594_002_RAMP_F (1% vs 0%),Q^NIL_GC (77% vs 77%); Q>>RGLC_BCCP_CLWU (17% vs 0%); N>>NIL_33_34 (5% vs 10%),supported,96.0,ok
N-Q-MNSP1,Directlink,forward,K1,INVERELL/LINE/96N,N-96L_96R_CB4102,79,79,0.0,0.0,0.10759493670886076,0.0,N>96L_96R_967_89 (7% vs 0%); N_DLINK_ECS (4% vs 0%); N::Q_ARSR_1 (1% vs 0%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,39.5,ok
N-Q-MNSP1,Directlink,forward,K1,LISMORE/LINE/96L/2,N-96L_96R_CB4102,490,490,0.0,0.0,0.3748299319727891,0.0,N>96L_96R_967_89 (25% vs 0%); N_DLINK_ECS (12% vs 0%); N>>NIL_33_34 (3% vs 1%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,258.0,ok
N-Q-MNSP1,Directlink,forward,K1,SYD_STH/LINE/76,N-X_10+76|N-X_AVMA_SSWW,171,171,0.0,0.0,0.0,0.029239766081871343,#R031462_006_RAMP_V (1% vs 0%); #R031462_001_RAMP_F (1% vs 0%); #R031462_001_RAMP_V (0% vs 0%),Q^NIL_GC (52% vs 52%); N>>NIL_33_34 (42% vs 38%); N::Q_10+76_LDTW (3% vs 0%),supported,101.5,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1,TENTFLD/LINE/96R,CA_BRIS_5667C22F|N-96L_96R_CB4102,710,710,4.694835680751174e-05,0.0,0.4352112676056338,0.34600938967136147,N>96L_96R_967_89 (26% vs 0%); N_DLINK_ECS (11% vs 0%); CA_BRIS_5667C22F_1 (6% vs 0%),Q^NIL_GC (65% vs 65%); N>96L_96R_967_89 (29% vs 0%); CA_BRIS_5667C22F_1 (6% vs 0%),supported,376.0,ok
N-Q-MNSP1,Directlink,forward,K1xK2,ARMIDALE/LINE/86 × N-ARTW_86,N-ARTW_86,549,549,0.018113742157458004,0.0,0.04948391013964784,0.013964784456587736,N^^Q_ARTW_B1 (3% vs 2%); F_Q++86_L6 (2% vs 0%); F_Q++86_L60 (2% vs 0%),N>>NIL_33_34 (84% vs 85%); Q^NIL_GC (10% vs 11%); N>>87_966_96C (3% vs 0%),supported,278.0,ok
N-Q-MNSP1,Directlink,forward,K1xK2,ARMIDALE/LINE/966 × N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,166,166,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (2% vs 0%); Q^^TR_CLHA_-600 (0% vs 0%); N::Q_DMSR_1 (0% vs 0%),N>>NIL_33_34 (70% vs 70%); Q^NIL_GC (29% vs 29%); #R030861_001_RAMP_F (1% vs 0%),supported,85.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1xK2,AVON/LINE/17 × N-AVMA_17,N-AVMA_17,1023,1023,0.0,0.0,0.0,0.0,N>>NIL_33_34 (3% vs 1%); Q>>RGLC_BCCP_CLWU (1% vs 0%); Q^^TR_CLHA_-600 (1% vs 0%),Q^NIL_GC (89% vs 89%); N>>NIL_33_34 (8% vs 5%); N>96L_96R_967_89 (1% vs 1%),supported,576.0,below asset gate: see family row
