name,direction,season,half_hour,units_n,treated_capacity,control_capacity,capacity_effect,flow_effect,at_limit_effect,clock
Basslink,forward,Autumn,0,3,125.0,125.0,0.0,0.0,0.0,00:00
Basslink,forward,Autumn,1,3,125.0,125.0,0.0,0.0,0.0,00:30
Basslink,forward,Autumn,2,3,125.0,125.0,0.0,0.0,0.0,01:00
Basslink,forward,Autumn,3,3,125.0,125.0,0.0,0.0,0.0,01:30
Basslink,forward,Autumn,4,3,125.0,125.0,0.0,0.0,0.0,02:00
Basslink,forward,Autumn,5,3,125.0,125.0,0.0,0.0,0.0,02:30
Basslink,forward,Autumn,6,3,125.0,125.0,0.0,0.0,0.0,03:00
Basslink,forward,Autumn,7,3,125.0,125.0,0.0,-2.689648333333333,0.0,03:30
Basslink,forward,Autumn,8,3,125.0,125.0,0.0,0.0,0.0,04:00
Basslink,forward,Autumn,9,4,10.472806666666663,125.0,0.0,0.0,0.0,04:30
Basslink,forward,Autumn,10,4,28.763506666666665,125.0,-3.7351783333333337,-12.359435833333329,0.0,05:00
Basslink,forward,Autumn,11,5,125.0,125.0,0.0,0.0,0.0,05:30
Basslink,forward,Autumn,12,5,125.0,125.0,0.0,0.0,0.0,06:00
Basslink,forward,Autumn,13,10,125.0,125.0,7.733383333333336,-1.6114175000000008,0.0,06:30
Basslink,forward,Autumn,14,12,125.0,125.0,0.0,-1.0550999999999997,0.0,07:00
Basslink,forward,Autumn,15,15,104.16666666666667,104.14658666666666,0.0,5.804850833333376,0.0,07:30
Basslink,forward,Autumn,16,15,-61.46742333333333,12.721770000000001,-26.32096833333334,-3.3539249999999896,0.0,08:00
Basslink,forward,Autumn,17,16,-69.38560916666667,-100.60203833333333,0.0,14.701585,0.0,08:30
Basslink,forward,Autumn,18,16,-99.37059666666667,-105.80309,16.498712500000018,16.45961833333333,0.0,09:00
Basslink,forward,Autumn,19,17,-115.17291166666666,-108.0326775,1.1647583333333387,-3.4765625,0.0,09:30
Basslink,forward,Autumn,20,16,-125.51266083333334,-101.28148666666667,-28.86017333333335,-22.974533333333312,0.0,10:00
Basslink,forward,Autumn,21,16,-114.28038500000001,-105.04032,-4.57967583333334,-8.839977499999982,-0.0625,10:30
Basslink,forward,Autumn,22,16,-118.37715583333332,-108.730505,-18.204565000000013,-20.021904166666666,0.0,11:00
Basslink,forward,Autumn,23,16,-136.74042250000002,-97.29854499999999,-27.674993333333347,-28.05848000000001,0.0,11:30
Basslink,forward,Autumn,24,16,-138.41407916666668,-75.00397833333334,-23.187733333333327,-23.189444999999992,0.0,12:00
Basslink,forward,Autumn,25,16,-123.36034166666667,-101.256305,-13.030729166666667,-7.26697249999998,0.0,12:30
Basslink,forward,Autumn,26,16,-127.9418925,-77.8310975,-40.47229750000001,-43.31660249999999,0.0,13:00
Basslink,forward,Autumn,27,17,-145.3665,-95.65929999999999,-25.733338333333336,-10.548068333333276,0.0,13:30
Basslink,forward,Autumn,28,16,-120.38331416666668,-81.31235666666666,-38.40589583333332,-28.81258333333333,0.0,14:00
Basslink,forward,Autumn,29,16,-122.54217750000001,-100.00193999999999,-27.286097500000007,-11.143888333333365,0.0,14:30
Basslink,forward,Autumn,30,16,-130.23899583333332,-100.00219999999999,-27.633706666666683,-25.966070000000002,0.0,15:00
Basslink,forward,Autumn,31,16,-120.13528666666667,-100.00212916666666,-19.057775833333338,-21.181272500000006,0.0,15:30
Basslink,forward,Autumn,32,16,-117.75662333333334,-80.97291166666668,-6.066669166666657,-1.828800833333304,0.0,16:00
Basslink,forward,Autumn,33,11,125.0,-58.18007166666666,-11.86158833333333,13.7457316666667,0.0,16:30
Basslink,forward,Autumn,34,10,19.637635833333327,-67.79743166666667,-0.901282083333335,-0.3260233333333318,0.0,17:00
