ic,name,direction,GENCONSETID,tier,treated_intervals,treated_binds_and_sets,treated_binds_only,treated_sets_only,treated_neither,control_intervals,control_binds_and_sets,control_binds_only,control_sets_only,control_neither
N-Q-MNSP1,Directlink,forward,CA_BRIS_5667C22F,unsupported,288,0.8576388888888888,0.07291666666666667,0.034722222222222224,0.034722222222222224,629,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_5667C22F,unsupported,288,0.0,0.0,0.0,1.0,629,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_593C7214,unsupported,30,0.0,0.0,0.0,1.0,78,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,unsupported,30,0.3333333333333333,0.0,0.6666666666666666,0.0,78,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_59712B29,unsupported,330,0.0,0.0,0.0,1.0,618,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59712B29,unsupported,330,0.09090909090909091,0.0,0.18787878787878787,0.7212121212121212,630,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,CA_SYDS_57B55E34,unsupported,246,0.0,0.0,0.0,1.0,696,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_57B55E34,unsupported,246,0.11788617886178862,0.0,0.6382113821138211,0.24390243902439024,696,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,CA_SYDS_59839EB2,indicative,336,0.0,0.0,0.0,1.0,708,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_59839EB2,indicative,336,0.23809523809523808,0.0,0.16666666666666666,0.5952380952380952,708,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,9582,0.02609058651638489,0.2754122312669589,0.10217073679816323,0.596326445418493,13985,0.0,0.0006435466571326421,0.0,0.9993564533428674
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,9582,0.0,0.010540596952619495,0.0,0.9894594030473806,13919,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-ARTW_86,supported,4548,0.009454705364995602,0.028144239226033423,0.0032981530343007917,0.9591029023746702,7067,0.0,0.0060846186500636765,0.0,0.9939153813499363
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,supported,4548,0.0,0.020668425681618294,0.0,0.9793315743183817,7043,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-AVMA_17,supported,7656,0.0,0.0,0.0,1.0,14656,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,supported,7656,0.016065830721003135,0.001567398119122257,0.0014367816091954023,0.9809299895506792,14638,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,supported,2406,0.0,0.0,0.0,1.0,4464,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-CHKS_ONE,unsupported,2406,0.04738154613466334,0.0016625103906899418,0.0798004987531172,0.8711554447215295,4644,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,4265,0.0,0.0,0.0,1.0,8099,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,4265,0.0035169988276670576,0.0009378663540445487,0.0007033997655334115,0.994841735052755,8105,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,14753,0.004270317901443774,0.010709686165525655,0.09137124652613028,0.8936487494069003,17699,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,14753,0.05917440520572087,6.778282383244086e-05,0.1408527079238121,0.7999051040466346,17345,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-LDTW_84,supported,2622,0.07704042715484363,0.009916094584286803,0.05682684973302822,0.8562166285278413,3252,0.0,0.0006150061500615006,0.0,0.9993849938499385
N-Q-MNSP1,Directlink,reverse,N-LDTW_84,supported,2622,0.0,0.0,0.0,1.0,3252,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-TWUL_85,supported,3629,0.014329016257922293,0.08817856158721411,0.02755580049600441,0.8699366216588592,6228,0.0,0.011721258831085421,0.0,0.9882787411689146
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,supported,3629,0.025351336456324057,0.0,0.07357398732433178,0.9010746762193441,6594,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_10+76,unsupported,36,0.0,0.0,0.8333333333333334,0.16666666666666666,120,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_10+76,unsupported,36,0.0,0.0,0.0,1.0,120,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_4+17_WG_CLOSE,unsupported,432,0.0,0.0,0.0,1.0,696,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_4+17_WG_CLOSE,unsupported,432,0.04398148148148148,0.0,0.0023148148148148147,0.9537037037037037,726,0.05509641873278237,0.015151515151515152,0.0027548209366391185,0.9269972451790633
N-Q-MNSP1,Directlink,forward,N-X_96T+9UG+9U2,indicative,216,0.0,0.0,0.0,1.0,498,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_96T+9UG+9U2,indicative,216,0.0,0.0,0.12037037037037036,0.8796296296296297,516,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,supported,456,0.0,0.043859649122807015,0.0,0.956140350877193,990,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,supported,456,0.0,0.02631578947368421,0.3969298245614035,0.5767543859649122,1104,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_ARKK_CH_CB892A,unsupported,1350,0.0,0.0,0.0,1.0,2916,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,supported,1350,0.0,0.0,0.15481481481481482,0.8451851851851852,2916,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_AVMA_KCTX,unsupported,402,0.0,0.0,0.0,1.0,654,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_KCTX,unsupported,402,0.0,0.0,0.05721393034825871,0.9427860696517413,630,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,supported,1025,0.0,0.0,0.0,1.0,2070,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,supported,1025,0.06536585365853659,0.000975609756097561,0.05268292682926829,0.8809756097560976,2070,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,unsupported,138,0.0,0.0,0.0,1.0,240,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,unsupported,138,0.572463768115942,0.0,0.09420289855072464,0.3333333333333333,246,0.08536585365853659,0.0,0.07317073170731707,0.8414634146341463
N-Q-MNSP1,Directlink,forward,N-X_LPSS_MPWW,supported,5574,0.0,0.0,0.0,1.0,7313,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,N-X_LPSS_MPWW,supported,5574,0.000897021887334051,0.0,0.0012558306422676714,0.9978471474703983,7133,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,Q-BKBM,supported,5166,0.0,0.0,0.0,1.0,9088,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,5166,0.0009678668215253581,0.0,0.016260162601626018,0.9827719705768486,9142,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,22611,0.0,0.0,0.0,1.0,20871,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,22611,0.01609835920569634,0.0001769050462164433,0.4998452080845606,0.4838795276635266,21051,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,1452,0.013085399449035813,0.05647382920110193,0.0027548209366391185,0.9276859504132231,2160,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,1452,0.0,0.0,0.0,1.0,2154,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,supported,2154,0.05478180129990715,0.0009285051067780873,0.034354688950789226,0.9099350046425255,2447,0.0,0.0,0.0,1.0
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,unsupported,2154,0.0,0.0,0.0,1.0,2819,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,CA_BRIS_569B1432,unsupported,42,0.7142857142857143,0.0,0.2857142857142857,0.0,120,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,CA_BRIS_569B1432,unsupported,42,0.0,0.0,0.0,1.0,114,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,CA_BRIS_59712B29,unsupported,330,0.0,0.0,0.0,1.0,726,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,unsupported,330,0.07878787878787878,0.012121212121212121,0.1393939393939394,0.7696969696969697,852,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,indicative,336,0.0,0.0,0.0,1.0,726,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,indicative,336,0.23511904761904762,0.002976190476190476,0.23511904761904762,0.5267857142857143,726,0.0,0.0,0.0,1.0
