ic,name,direction,GENCONSETID,during_leader_1,during_share_1,during_top3,before_top3,leader_changed_share
NSW1-QLD1,QNI,forward,N-ARDM_8C,N>>NIL_33_34,0.35723771580345287,N>>NIL_33_34 (36%); N^^Q_ARDM_KPP_1 (17%); NQ_950_TEST (15%),N>>NIL_33_34 (30%); NQ_950_TEST (15%); NQ_950_DYN_TEST (13%),0.19672131147540983
NSW1-QLD1,QNI,forward,N-ARSR_8E,N^^Q_ARSR_KPP_1,0.6153846153846154,N^^Q_ARSR_KPP_1 (62%); N>>NIL_33_34 (17%); NQ_630 (10%),N^^Q_ARSR_KPP_1 (48%); N>>NIL_86_85_N (12%); #R031668_007_RAMP_F (4%),0.16
NSW1-QLD1,QNI,forward,N-ARTW_86,N>>NIL_33_34,0.8706536856745479,N>>NIL_33_34 (87%); N^^Q_AR_VC_MPP_2 (3%); N^^Q_AR_VC_MPP_1 (2%),N>>NIL_33_34 (37%); #NSW1-QLD1_RAMP_I_F (16%); #R030960_003_RAMP_V (5%),0.42105263157894735
NSW1-QLD1,QNI,forward,N-AVMA_17,N>>NIL_33_34,0.6859939759036144,N>>NIL_33_34 (69%); N>>NIL_86_85_N (12%); N>>LDTM_33_34_OPEN (4%),N>>NIL_33_34 (52%); Q^^TR_CLHA_-600 (7%); N::Q_4+17_KC (7%),0.07407407407407407
NSW1-QLD1,QNI,forward,N-CHKS_ONE,N>>NIL_33_34,0.30402010050251255,N>>NIL_33_34 (30%); NQ_950_DYN_TEST (27%); N>>LDTM_33_34_CL (18%),N>>NIL_33_34 (33%); NQ_950_TEST (22%); NQ_950_DYN_TEST (22%),0.2222222222222222
NSW1-QLD1,QNI,forward,N-DMSR_8J,N>>NIL_33_34,0.6645161290322581,N>>NIL_33_34 (66%); NQ_630 (7%); N^^Q_DMSR_KPP_1 (7%),N>>NIL_33_34 (38%); #NSW1-QLD1_RAMP_I_F (12%); N>>NIL_86_85_N (8%),0.23076923076923078
NSW1-QLD1,QNI,forward,N-DTMN_8_15M,N>>NIL_33_34,0.5863636363636363,N>>NIL_33_34 (59%); N^^Q_ARSR_KPP_1 (17%); NQ_950_TEST (7%),N>>NIL_33_34 (38%); F_NVS+LDTW_R5 (15%); NQ_950_TEST (15%),0.3076923076923077
NSW1-QLD1,QNI,forward,N-DTSS_11,N>>NIL_33_34,0.4855371900826446,N>>NIL_33_34 (49%); NQ_950_DYN_TEST (17%); N^^Q_NIL_KPP_1 (12%),N>>NIL_33_34 (71%); N^^Q_NIL_KPP_1 (8%); #R031373_002_RAMP_F (4%),0.125
NSW1-QLD1,QNI,forward,N-LDTM_82,N>>LDTM_33_34_OPEN,0.23298731257208766,N>>LDTM_33_34_OPEN (23%); N^^Q_NIL_KPP_1 (15%); N>>NIL_33_34 (14%),N>>NIL_33_34 (21%); N>>LDTM_33_34_OPEN (19%); N>>LDTM_33_34_CL (12%),0.15789473684210525
NSW1-QLD1,QNI,forward,N-LDTW_84,N>>NIL_33_34,0.7652582159624414,N>>NIL_33_34 (77%); F_NVS+LDTW_R5 (13%); F_NVS++LDTW_R5 (4%),N>>NIL_33_34 (38%); #NSW1-QLD1_RAMP_I_F (31%); #R030960_003_RAMP_V (8%),0.5384615384615384
NSW1-QLD1,QNI,forward,N-TWUL_85,N>>NIL_33_34,0.8164983164983165,N>>NIL_33_34 (82%); F_NVS+85_R5 (7%); F_NVS++85_R5 (3%),N>>NIL_33_34 (64%); #R031091_007_RAMP_F (9%); N>>LDTM_33_34_OPEN (9%),0.2727272727272727
NSW1-QLD1,QNI,forward,N-X_8E+DM+TW+LS_SVC,N>>NIL_86_85_N,0.7391304347826086,N>>NIL_86_85_N (74%); NQ_630 (11%); N>>NIL_33_34 (9%),N>>NIL_86_85_N (50%); #R031682_001_RAMP_F (25%); NQ_630 (25%),0.0
NSW1-QLD1,QNI,forward,N-X_AVMA_SSWW,N>>NIL_33_34,0.7978142076502732,N>>NIL_33_34 (80%); N>>NIL_86_85_N (10%); N::Q_4+17_KC (3%),N>>NIL_33_34 (67%); #R031455_001_RAMP_V (8%); Q>>NIL_CLWU_RGLC (8%),0.08333333333333333
NSW1-QLD1,QNI,forward,Q-CPWO_813/1,N>>NIL_33_34,0.5998439937597504,N>>NIL_33_34 (60%); N^^Q_ARDM_KPP_1 (10%); N^^Q_NIL_KPP_1 (4%),N>>NIL_33_34 (63%); NQ_630 (14%); N>>31_33_34 (6%),0.11428571428571428
NSW1-QLD1,QNI,forward,Q-LCCP_8859,N>>NIL_33_34,0.3930635838150289,N>>NIL_33_34 (39%); N>>31_33_34 (32%); Q>>LCCP_BCCP_CLWU (13%),N>>NIL_33_34 (46%); F_NVS++LDTW_R5 (15%); N>>31_33_34 (15%),0.3076923076923077
NSW1-QLD1,QNI,forward,Q-RGLC_8875,N>>NIL_33_34,0.21008403361344538,N>>NIL_33_34 (21%); N^^Q_ARDM_KPP_1 (18%); NQ_630 (17%),N>>NIL_33_34 (15%); N^^Q_NIL_KPP_1 (15%); #R031495_001_RAMP_F (8%),0.38461538461538464
NSW1-QLD1,QNI,forward,Q-X_BRHA_TWO,N>>NIL_33_34,0.5694444444444444,N>>NIL_33_34 (57%); NQ_950_DYN_TEST (24%); NQ_950_TEST (6%),N>>NIL_33_34 (60%); NQ_950_TEST (30%); NQ_950_DYN_TEST (10%),0.5
NSW1-QLD1,QNI,forward,Q-X_HATR_TWO,N>>NIL_33_34,0.45484949832775917,N>>NIL_33_34 (45%); Q>>X_HATR2_HATR_HATR (36%); Q^^TR_CLHA_-600 (5%),N>>NIL_33_34 (58%); Q>>X_HATR2_HATR_HATR (5%); N>>NIL_86_85_N (5%),0.3157894736842105
NSW1-QLD1,QNI,reverse,N-ARDM_8C,N>>NIL_964_84_S,0.2151394422310757,N>>NIL_964_84_S (22%); Q:N_760 (21%); QN+RAISE_NIL (17%),N>>NIL_964_84_S (16%); N>>NIL_85_86_S (16%); QN+RAISE_NIL (10%),0.22950819672131148
NSW1-QLD1,QNI,reverse,N-ARSR_8E,Q:N_760,0.3230938014262205,Q:N_760 (32%); QN_590 (31%); N>>NIL_964_84_S (18%),Q:N_760 (24%); QNI_SOUTH_590_DYN (16%); Q^^N_8E+DMTWLS_SRAR (12%),0.24
NSW1-QLD1,QNI,reverse,N-ARTW_86,N>>NIL_964_84_S,0.5354659248956884,N>>NIL_964_84_S (54%); N>>NIL_964_88_S (18%); Q:N_AR330BS1_SVC_OSC (13%),N>>NIL_964_84_S (16%); Q:N_AR330BS1_SVC_OSC (16%); N>>NIL_964_88_S (11%),0.15789473684210525
NSW1-QLD1,QNI,reverse,N-AVMA_17,N>>NIL_85_86_S,0.2477409638554217,N>>NIL_85_86_S (25%); N>>NIL_8U_86_S (22%); QN+RAISE_NIL (17%),N>>NIL_85_86_S (19%); N>>NIL_8U_86_S (19%); N>>NIL_964_84_S (11%),0.25925925925925924
NSW1-QLD1,QNI,reverse,N-CHKS_ONE,F_Q++NIL_R6,0.2135678391959799,F_Q++NIL_R6 (21%); N>>9W7_9W2_965 (21%); N>>NIL_964_84_S (16%),N>>NIL_85_86_S (22%); N>>NIL_964_84_S (22%); N>>NIL_86_8U_S (11%),0.4444444444444444
NSW1-QLD1,QNI,reverse,N-DMSR_8J,QN+RAISE_NIL,0.30752688172043013,QN+RAISE_NIL (31%); QN_590 (16%); QNI_SOUTH_590_DYN (15%),N>>NIL_964_84_S (15%); QN+RAISE_NIL (12%); N>>NIL_964_88_S (12%),0.19230769230769232
NSW1-QLD1,QNI,reverse,N-DTMN_8_15M,N>>NIL_964_84_S,0.3090909090909091,N>>NIL_964_84_S (31%); N>>NIL_85_86_S (18%); N>>NIL_8U_86_S (13%),QN+RAISE_NIL (31%); N>>NIL_86_85_S (23%); N>>8_39_16 (8%),0.38461538461538464
NSW1-QLD1,QNI,reverse,N-DTSS_11,N>>NIL_85_86_S,0.2303719008264463,N>>NIL_85_86_S (23%); N>>NIL_964_84_S (21%); QN+RAISE_NIL (12%),N>>NIL_964_84_S (33%); N>>NIL_86_8U_S (21%); N>>NIL_86_85_S (12%),0.375
NSW1-QLD1,QNI,reverse,N-LDTM_82,F_Q++NIL_R6,0.2679738562091503,F_Q++NIL_R6 (27%); N>>LDTM_964_81_OPEN (18%); N>>NIL_964_84_S (10%),F_Q++NIL_R6 (21%); N>>LDTM_964_81_OPEN (19%); QN+RAISE_NIL (14%),0.3508771929824561
NSW1-QLD1,QNI,reverse,N-LDTW_84,N>>NIL_964_84_S,0.5070422535211268,N>>NIL_964_84_S (51%); N>>NIL_964_88_S (25%); QN+RAISE_NIL (8%),N>>NIL_964_84_S (23%); N>>NIL_964_88_S (15%); #R030960_010_RAMP_V (8%),0.07692307692307693
NSW1-QLD1,QNI,reverse,N-TWUL_85,N>>NIL_964_84_S,0.5673400673400674,N>>NIL_964_84_S (57%); N>>NIL_964_88_S (24%); F_NVS+85_L5 (7%),N>>NIL_964_84_S (45%); N>>NIL_964_88_S (18%); #R031091_023_RAMP_F (9%),0.45454545454545453
NSW1-QLD1,QNI,reverse,N-X_8E+DM+TW+LS_SVC,Q^^N_8E+DMTWLS_SRAR,0.3695652173913043,Q^^N_8E+DMTWLS_SRAR (37%); N>>81_964_82 (20%); N>>NIL_964_84_S (17%),Q^^N_8E+DMTWLS_SRAR (50%); #R031685_001_RAMP_V (25%); QN_590 (25%),0.25
NSW1-QLD1,QNI,reverse,N-X_AVMA_SSWW,N>>NIL_86_85_S,0.34972677595628415,N>>NIL_86_85_S (35%); N>>NIL_85_86_S (20%); N>>X-17+76_39_11 (12%),N>>NIL_85_86_S (25%); N>>X-17+76_39_11 (17%); QN+RAISE_NIL (17%),0.5833333333333334
NSW1-QLD1,QNI,reverse,Q-BKBM,QN+RAISE_NIL,0.38461538461538464,QN+RAISE_NIL (38%); N>>NIL_85_86_S (27%); N>>NIL_964_84_S (13%),QN+RAISE_NIL (33%); N>>NIL_85_86_S (25%); N>>NIL_964_84_S (17%),0.16666666666666666
NSW1-QLD1,QNI,reverse,Q-CPWO_813/1,QN+RAISE_NIL,0.26131045241809675,QN+RAISE_NIL (26%); QN_590 (15%); F_Q++NIL_R6 (11%),N>>NIL_964_88_S (20%); QN_590 (20%); F_Q++NIL_R6 (14%),0.22857142857142856
NSW1-QLD1,QNI,reverse,Q-LCCP_8859,F_Q++NIL_R6,0.23121387283236994,F_Q++NIL_R6 (23%); N>>NIL_964_84_S (19%); N>>NIL_85_86_S (15%),N>>NIL_85_86_S (38%); F_Q++NIL_R6 (23%); N>>81_964_82 (8%),0.38461538461538464
NSW1-QLD1,QNI,reverse,Q-X_BRHA_TWO,N>>NIL_86_85_S,0.2986111111111111,N>>NIL_86_85_S (30%); QN+RAISE_NIL (29%); N>>NIL_85_86_S (19%),N>>NIL_964_84_S (20%); #R031991_002_RAMP_F (10%); #R033023_001_RAMP_F (10%),0.4
NSW1-QLD1,QNI,reverse,Q-X_HACL_HATR,QN+RAISE_NIL,0.2962226640159046,QN+RAISE_NIL (30%); N>>NIL_8U_86_S (29%); N>>NIL_85_86_S (21%),N>>NIL_85_86_S (33%); N>>NIL_86_85_S (17%); N>>NIL_8U_86_S (11%),0.05555555555555555
NSW1-QLD1,QNI,reverse,Q-X_HATR_TWO,N>>NIL_8U_86_S,0.2525083612040134,N>>NIL_8U_86_S (25%); N>>NIL_85_86_S (25%); QN+RAISE_NIL (23%),N>>NIL_85_86_S (26%); QN+RAISE_NIL (16%); N>>NIL_964_84_S (11%),0.2631578947368421
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,Q^NIL_GC,0.8303068252974327,Q^NIL_GC (83%); N>96L_96R_967_89 (13%); CA_BRIS_5667C22F_1 (3%),Q^NIL_GC (77%); N>96L_96R_967_89 (13%); #R031267_003_RAMP_F (2%),0.038461538461538464
N-Q-MNSP1,Directlink,forward,N-ARTW_86,N>>NIL_33_34,0.6741424802110818,N>>NIL_33_34 (67%); Q^NIL_GC (27%); N>>87_966_96C (2%),Q^NIL_GC (71%); N>>NIL_33_34 (21%); #R030960_003_RAMP_V (7%),0.07142857142857142
N-Q-MNSP1,Directlink,forward,N-AVMA_17,Q^NIL_GC,0.7452978056426333,Q^NIL_GC (75%); N>>NIL_33_34 (14%); N>96L_96R_967_89 (9%),Q^NIL_GC (55%); N>96L_96R_967_89 (28%); N>>NIL_33_34 (14%),0.0
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,Q^NIL_GC,0.9376558603491272,Q^NIL_GC (94%); N>>NIL_33_34 (6%),Q^NIL_GC (75%); N>>NIL_33_34 (12%); Q^^TR_TRBK_-250 (12%),0.125
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,Q^NIL_GC,0.6230661040787623,Q^NIL_GC (62%); N>>NIL_33_34 (23%); N>>LDTM_33_34_OPEN (9%),Q^NIL_GC (62%); N>>LDTM_33_34_OPEN (12%); #R031125_001_RAMP_F (6%),0.125
N-Q-MNSP1,Directlink,forward,N-LDTM_82,Q^NIL_GC,0.8129320862139081,Q^NIL_GC (81%); N>>LDTM_33_34_OPEN (9%); N>>NIL_33_34 (6%),Q^NIL_GC (85%); N>>LDTM_33_34_OPEN (5%); CA_BRIS_5667C22F_1 (3%),0.03225806451612903
N-Q-MNSP1,Directlink,forward,N-LDTW_84,N>>NIL_33_34,0.7414187643020596,N>>NIL_33_34 (74%); F_NVS+LDTW_R5 (9%); Q^NIL_GC (7%),Q^NIL_GC (38%); N>>NIL_33_34 (31%); F_NVS+LDTW_R5 (15%),0.3076923076923077
N-Q-MNSP1,Directlink,forward,N-TWUL_85,N>>NIL_33_34,0.7223140495867768,N>>NIL_33_34 (72%); N>>LDTM_33_34_OPEN (11%); Q^NIL_GC (9%),N>>NIL_33_34 (58%); Q^NIL_GC (16%); N>>LDTM_33_34_OPEN (11%),0.05263157894736842
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,Q^NIL_GC,0.9736842105263158,Q^NIL_GC (97%); F_NVS+85_R5 (3%),Q^NIL_GC (75%); F_NVS+85_R5 (25%),0.25
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,Q^NIL_GC,0.5497076023391813,Q^NIL_GC (55%); N>>NIL_33_34 (42%); #R031468_001_RAMP_F (1%),Q^NIL_GC (55%); N>>NIL_33_34 (36%); #R031455_001_RAMP_V (9%),0.09090909090909091
N-Q-MNSP1,Directlink,forward,N-X_LPSS_MPWW,Q^NIL_GC,1.0,Q^NIL_GC (100%),Q^NIL_GC (100%),0.0
N-Q-MNSP1,Directlink,forward,Q-BKBM,Q^NIL_GC,0.9895470383275261,Q^NIL_GC (99%); N>>LDTM_33_34_OPEN (1%); F_NVS+LDTW_R5 (0%),Q^NIL_GC (94%); N>>LDTM_33_34_OPEN (3%); F_NVS+LDTW_R5 (3%),0.0
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,Q^NIL_GC,0.9970814539665693,Q^NIL_GC (100%); F_NVS++85_R5 (0%); F_NVS+85_R5 (0%),Q^NIL_GC (99%); F_NVS++85_R5 (1%),0.011363636363636364
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,Q^NIL_GC,0.841225626740947,Q^NIL_GC (84%); Q>>RGLC_BCCP_CLWU (9%); N>>NIL_33_34 (4%),Q^NIL_GC (54%); N>>NIL_33_34 (15%); #R031524_003_RAMP_F (8%),0.15384615384615385
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,N>>NIL_967_89_S,0.47276142767689416,N>>NIL_967_89_S (47%); N>>NIL_964_84_S (10%); N>>NIL_964_88_S (8%),N>>NIL_967_89_S (15%); N>>NIL_964_84_S (10%); Q>GBMU_MDSSSPD_GBMU (10%),0.3269230769230769
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,N>>NIL_964_84_S,0.47229551451187335,N>>NIL_964_84_S (47%); N>>NIL_967_89_S (27%); N>>NIL_964_88_S (25%),N>>NIL_967_89_S (71%); N>>NIL_964_88_S (14%); #R030956_015_RAMP_F (7%),0.0
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,N>>NIL_967_89_S,0.5336990595611285,N>>NIL_967_89_S (53%); N>>NIL_964_84_S (20%); N>>NIL_964_88_S (7%),N>>NIL_967_89_S (38%); N>>NIL_964_84_S (24%); N>>NIL_964_88_S (17%),0.4827586206896552
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,N>>NIL_967_89_S,0.2630098452883263,N>>NIL_967_89_S (26%); N>>NIL_964_84_S (22%); Q>GBMU_MDSSSPD_GBMU (14%),N>>NIL_967_89_S (31%); N>>NIL_966/1 (12%); #R031125_002_RAMP_F (6%),0.5
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,N>>NIL_967_89_S,0.35176901179341197,N>>NIL_967_89_S (35%); N>>LDTM_964_81_OPEN (16%); N>>NIL_964_84_S (14%),N>>NIL_967_89_S (40%); N>>LDTM_964_81_OPEN (16%); N>>NIL_964_84_S (11%),0.22580645161290322
N-Q-MNSP1,Directlink,reverse,N-LDTW_84,N>>NIL_964_84_S,0.482837528604119,N>>NIL_964_84_S (48%); N>>NIL_964_88_S (32%); N>>NIL_967_89_S (20%),N>>NIL_967_89_S (62%); N>>NIL_964_88_S (15%); N>>NIL_964_84_S (15%),0.0
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,N>>NIL_964_84_S,0.43636363636363634,N>>NIL_964_84_S (44%); N>>NIL_964_88_S (30%); N>>LDTM_964_84_OPEN (7%),N>>NIL_964_84_S (37%); N>>NIL_964_88_S (26%); #R031091_004_RAMP_F (5%),0.21052631578947367
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,N>N-X_9U6_9G2_2,0.39473684210526316,N>N-X_9U6_9G2_2 (39%); N>>NIL_964_84_S (28%); F_NVS+85_L5 (21%),#R032770_002_RAMP_F (25%); N>>NIL_964_84_S (25%); F_NVS+85_L5 (25%),0.0
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,N>>NIL_964_84_S,0.39111111111111113,N>>NIL_964_84_S (39%); N>>NIL_967_89_S (24%); N>>966_96C_87_CB_S (16%),N>>NIL_967_89_S (47%); N>>NIL_964_84_S (33%); N>>BYSW_8_16 (7%),0.0
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,N>>NIL_964_88_S,0.30994152046783624,N>>NIL_964_88_S (31%); N>>NIL_967_89_S (21%); N>>NIL_86_85_S (16%),N>>NIL_967_89_S (36%); N>>NIL_964_84_S (18%); N>>X-17+76_39_11 (18%),0.18181818181818182
N-Q-MNSP1,Directlink,reverse,N-X_LPSS_MPWW,N>>NIL_967_89_S,0.7093649085037675,N>>NIL_967_89_S (71%); N>>NIL_964_88_S (14%); N>>NIL_86_85_S (9%),N>>NIL_967_89_S (65%); N>>NIL_964_88_S (12%); #R033201_002_RAMP_F (6%),0.17647058823529413
N-Q-MNSP1,Directlink,reverse,Q-BKBM,N>>NIL_967_89_S,0.7177700348432056,N>>NIL_967_89_S (72%); N>>NIL_966/1 (13%); N>>NIL_86_85_S (3%),N>>NIL_967_89_S (55%); N>>NIL_966/1 (21%); N>>NIL_85_86_S (9%),0.15151515151515152
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,N>>NIL_967_89_S,0.7024793388429752,N>>NIL_967_89_S (70%); N>>NIL_964_84_S (22%); N>>NIL_86_85_S (4%),N>>NIL_967_89_S (36%); N>>NIL_964_84_S (27%); N>>81_964_82 (9%),0.2727272727272727
VIC1-NSW1,VNI,forward,I-BURC,N::N_SDUT_2,0.3983402489626556,N::N_SDUT_2 (40%); V>>N_NIL_65_051 (17%); V^^N_BURC_1 (16%),N::N_SDUT_2 (32%); V::N_NIL_V2 (18%); V>>N_NIL_65_051 (14%),0.36363636363636365
VIC1-NSW1,VNI,forward,N-BADP,V^^N_BADP_1,0.2962962962962963,V^^N_BADP_1 (30%); V::N_NIL_V1 (21%); V::N_NIL_V2 (15%),V::N_NIL_V1 (50%); V>>N_NIL_65_66 (17%); N::N_DTKV_2 (8%),0.5
VIC1-NSW1,VNI,forward,N-CTYS_3L_WG_CLOSE,V^^N_MNYS_1,0.37464589235127477,V^^N_MNYS_1 (37%); N::N_CTYS_2 (10%); N^^N_NIL_X5_BEKG (4%),V^^N_MNYS_1 (24%); N::N_CTYS_2 (12%); V::N_NIL_O1 (5%),0.30952380952380953
VIC1-NSW1,VNI,forward,N-DTKV_18_WG_CLOSE,N::N_DTKV_2,0.6495726495726496,N::N_DTKV_2 (65%); V^^N_DTKV_1 (15%); N^^N_NIL_WGLT (8%),#R030739_018_RAMP_F (17%); N::N_DTKV_2 (17%); #R031645_021_RAMP_F (17%),1.0
VIC1-NSW1,VNI,forward,N-DTMN_8_15M,V^^N_DTMN_1,0.25229357798165136,V^^N_DTMN_1 (25%); N>>BDBU_970_051 (11%); V::N_NIL_V1 (10%),V^^N_DTMN_1 (18%); N>>BDBU_970_051 (14%); N^^N_NIL_X5_BESH (9%),0.3181818181818182
VIC1-NSW1,VNI,forward,N-DTSS_11,V^^N_MNYS_1,0.12282608695652174,V^^N_MNYS_1 (12%); N::N_CNLT_2 (12%); V::N_NIL_V2 (11%),V::N_NIL_V2 (13%); N::N_CNLT_2 (10%); V^^N_MNYS_1 (10%),0.41935483870967744
VIC1-NSW1,VNI,forward,N-KVCW_3W_WG_CLOSE,V^^N_CNCW_1,0.23893805309734514,V^^N_CNCW_1 (24%); N^^N_NIL_WGLT (21%); V::N_NIL_V2 (10%),N>>NIL_990_051 (15%); V::N_NIL_V2 (15%); #R031658_002_RAMP_F (8%),0.38461538461538464
VIC1-NSW1,VNI,forward,N-LTUT_64_15M,V^^N_LTUT_1,0.32611832611832614,V^^N_LTUT_1 (33%); V::N_NIL_V2 (14%); V::N_NIL_V1 (10%),V^^N_LTUT_1 (32%); V::N_NIL_V1 (16%); V::N_NIL_V2 (11%),0.47368421052631576
VIC1-NSW1,VNI,forward,N-MNYS_5_WG_CLOSE,V^^N_MNYS_1,0.292622661489587,V^^N_MNYS_1 (29%); N::N_MNYS_2 (10%); N>>BDBU_970_051 (10%),V^^N_MNYS_1 (28%); N::N_MNYS_2 (11%); N>>BDBU_970_051 (10%),0.33088235294117646
VIC1-NSW1,VNI,forward,N-X_AVMA_SSWW,V::N_NIL_V2,0.15151515151515152,V::N_NIL_V2 (15%); N>>X-17+76_39_11 (13%); N^^N_BDBU_X5_BESH (8%),V^^N_NIL_1 (30%); N>>X-17+76_39_11 (20%); V::N_JNWG_V1 (20%),0.4
VIC1-NSW1,VNI,forward,N-X_LPSS_MPWW,V::N_NIL_V2,0.15058479532163743,V::N_NIL_V2 (15%); V::N_NIL_V1 (11%); V^^N_NIL_1 (11%),V^^N_LTUT_1 (14%); V^^N_MNYS_1 (9%); V::N_NIL_V2 (9%),0.3181818181818182
VIC1-NSW1,VNI,forward,V-ARCW,V::N_WBHO_S2,0.3148148148148148,V::N_WBHO_S2 (31%); V^^N_MNYS_1 (28%); N::N_MNYS_2 (19%),#R031258_013_RAMP_V (25%); #R031276_013_RAMP_V (25%); #R036138_013_RAMP_V (25%),0.25
VIC1-NSW1,VNI,forward,V-AR_WB_BA,V::N_X_ARWBBA_S2,0.1991701244813278,V::N_X_ARWBBA_S2 (20%); V>>N_NIL_65_051 (15%); N::N_MNYS_2 (9%),V^^N_MNYS_1 (12%); V::N_X_ARWBBA_S2 (12%); V>>N_NIL_65_66 (6%),0.5294117647058824
VIC1-NSW1,VNI,forward,V-BAML1_15M,V>>N_NIL_65_051,0.18848167539267016,V>>N_NIL_65_051 (19%); N>>BDBU_970_051 (17%); N::N_UTRV_2 (10%),V::N_NIL_V2 (15%); N::N_CNLT_2 (15%); N::N_MNYS_2 (8%),0.5384615384615384
VIC1-NSW1,VNI,forward,V-DDMS,N>>BDBU_970_051,0.14333333333333334,N>>BDBU_970_051 (14%); V::N_DDMS_S1 (10%); N>>970_990_051 (9%),V^^N_MNYS_1 (38%); V::N_DDMS_S1 (6%); #R030750_013_RAMP_F (6%),0.375
VIC1-NSW1,VNI,forward,V-DDSM,N>>NIL_970_051,0.1984732824427481,N>>NIL_970_051 (20%); N^^N_NIL_X5_BESH (10%); V::N_DDSM_V1 (7%),V>>N_NIL_65_66 (17%); N^^N_NIL_WGLT (17%); #R031936_011_RAMP_V (8%),0.5
VIC1-NSW1,VNI,forward,V-KG_WE_RC,N>>NIL_990_051,0.174496644295302,N>>NIL_990_051 (17%); N>>BDBU_970_051 (15%); V::N_KGRC_V2 (10%),#R030774_010_RAMP_F (8%); N>>970_990_051 (8%); #R031432_012_RAMP_V (8%),0.3333333333333333
VIC1-NSW1,VNI,forward,V-KMRC,V::N_KMRC_V2,0.153125,V::N_KMRC_V2 (15%); N::N_4+07_2 (12%); V>>N_NIL_65_051 (8%),#R032396_013_RAMP_F (5%); #R032432_013_RAMP_F (5%); #R032490_013_RAMP_F (5%),0.7142857142857143
VIC1-NSW1,VNI,forward,V-MLSY_NOEMTT_R,V^^N_MNYS_1,0.17598343685300208,V^^N_MNYS_1 (18%); N>>BDBU_970_051 (12%); V^^N_NIL_1 (9%),V^^N_MNYS_1 (20%); N::N_MNYS_2 (13%); N>>BDBU_970_051 (11%),0.32786885245901637
VIC1-NSW1,VNI,forward,V-MRKM,V>>N_NIL_65_051,0.19883040935672514,V>>N_NIL_65_051 (20%); V::N_HORC_S1 (11%); V::N_HORC_S2 (9%),V::N_HYSE_V1 (14%); V::N_NIL_V1 (14%); #R032396_013_RAMP_F (7%),0.5714285714285714
