ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,season,Summer,48,0.9340277777777777,0.0,0.9340277777777777,0.2916666666666667,0.08182870370370371
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Evening peak,10,0.9,0.0,0.9,0.6833333333333332,0.2472222222222223
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Morning peak,6,0.9166666666666665,0.0,0.9166666666666665,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Overnight,18,0.9907407407407407,0.0,0.9907407407407407,0.39814814814814814,0.06975308641975309
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Solar period,14,0.8928571428571429,0.0,0.8928571428571429,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,tbin,0,1,1.0,0.0,1.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,tbin,1,39,0.9658119658119659,0.0,0.9658119658119659,0.32905982905982906,0.0878917378917379
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,tbin,2,8,0.7708333333333333,0.0,0.7708333333333333,0.14583333333333331,0.0625
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,vbin,0,11,0.9545454545454546,0.0,0.9545454545454546,0.0,0.018181818181818184
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,vbin,1,33,0.9343434343434343,0.0,0.9343434343434343,0.3333333333333333,0.08367003367003367
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,vbin,2,4,0.875,0.0,0.875,0.75,0.24166666666666664
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,rbin,0,11,0.8636363636363636,0.0,0.8636363636363636,0.4848484848484848,0.16666666666666669
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,rbin,1,33,0.9545454545454546,0.0,0.9545454545454546,0.2626262626262626,0.05942760942760943
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,rbin,2,4,0.9583333333333333,0.0,0.9583333333333333,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,season,Summer,48,0.0,0.0,0.0,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.16
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,day_period,Solar period,14,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,tbin,0,1,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,tbin,1,39,0.0,0.0,0.0,0.0,0.041025641025641026
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,tbin,2,8,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,vbin,0,11,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,vbin,1,33,0.0,0.0,0.0,0.0,0.02323232323232323
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,vbin,2,4,0.0,0.0,0.0,0.0,0.20833333333333334
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,rbin,0,11,0.0,0.0,0.0,0.0,0.13333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,rbin,1,33,0.0,0.0,0.0,0.0,0.00404040404040404
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,rbin,2,4,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,season,Winter,5,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,day_period,Solar period,5,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,tbin,1,2,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,tbin,2,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,vbin,0,2,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,vbin,1,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,rbin,1,5,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,season,Winter,5,0.7333333333333333,0.0,0.7333333333333333,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,day_period,Solar period,5,0.7333333333333333,0.0,0.7333333333333333,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,tbin,1,2,1.0,0.0,1.0,0.0,0.08333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,tbin,2,3,0.5555555555555555,0.0,0.5555555555555555,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,vbin,0,2,1.0,0.0,1.0,0.0,0.08333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,vbin,1,3,0.5555555555555555,0.0,0.5555555555555555,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,rbin,1,5,0.7333333333333333,0.0,0.7333333333333333,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,season,Winter,55,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Solar period,21,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,tbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,tbin,1,32,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,tbin,2,14,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,0,30,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,1,22,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,0,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,2,22,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,season,Winter,55,0.10909090909090909,0.0,0.10909090909090909,0.0,0.17030303030303032
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Evening peak,10,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Morning peak,6,0.05555555555555555,0.0,0.05555555555555555,0.0,0.16666666666666666
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,day_period,Solar period,21,0.2619047619047619,0.0,0.2619047619047619,0.0,0.39841269841269844
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,tbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,tbin,1,32,0.15624999999999997,0.0,0.15624999999999997,0.0,0.25104166666666666
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,tbin,2,14,0.07142857142857142,0.0,0.07142857142857142,0.0,0.09523809523809523
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,0,30,0.09444444444444443,0.0,0.09444444444444443,0.0,0.08888888888888888
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,1,22,0.14393939393939392,0.0,0.14393939393939392,0.0,0.3045454545454546
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,0,10,0.016666666666666666,0.0,0.016666666666666666,0.0,0.12000000000000002
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,1,23,0.11594202898550723,0.0,0.11594202898550723,0.0,0.1956521739130435
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,2,22,0.14393939393939392,0.0,0.14393939393939392,0.0,0.16666666666666666
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.0,0.0,0.0,0.0,0.03245257452574526
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,0.0,0.0,0.0,0.0,0.0
