ic,name,direction,level,key,families,layer,GENCONSETID,tier,n_units,treated_hours,own_treated,own_control,own_diff,own_ci_lo,own_ci_hi,treated_coverage,any_treated,any_control,any_diff,any_ci_lo,any_ci_hi,class_own_set_treated,class_own_set_control,class_other_outage_set_treated,class_other_outage_set_control,class_system_normal_other_treated,class_system_normal_other_control,class_fcas_treated,class_fcas_control,class_ramp_discretionary_treated,class_ramp_discretionary_control,top1_treated,top1_treated_share,top1_control_share,top1_control,top1_control_share_c,top1_control_share_t
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,48,24.0,0.9340277777777777,0.0,0.9340277777777777,0.9322916666666665,0.9375,1.0,0.9756944444444443,0.17326388888888888,0.8024305555555555,0.8003472222222223,0.8065972222222223,0.9340277777777783,0.0,0.9722222222222228,0.10445601851851852,0.3020833333333333,0.08269675925925925,0.0,0.0,0.0,0.014583333333333334,N>96L_96R_967_89,0.9687500000000006,0.07569444444444444,N>>NIL_33_34,0.0818287037037037,0.29166666666666663
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,CA_BRIS_5667C22F,unsupported,48,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003472222222222222,0.041608796296296297,-0.03813657407407407,-0.11875,0.002170138888888889,0.0,0.0,0.0,0.03333333333333333,0.003472222222222222,0.012326388888888887,0.0,0.0,0.0,0.0,Q^^NIL_CS,0.003472222222222222,0.0,N>>X-17+76_39_11,0.03333333333333333,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,5,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q>>NIL_MRTX5_MRTX4,0.0,0.0,Q>>NIL_MRTX5_MRTX4,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,CA_BRIS_593C7214,unsupported,5,2.5,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,0.7333333333333333,0.03333333333333333,0.7,0.7,0.7,0.7333333333333333,0.0,0.3,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,CA_BRIS_593C7214_1,0.7333333333333333,0.0,N>>NIL_964_88_S,0.03333333333333333,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,55,27.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q>>NIL_MRTX5_MRTX4,0.0,0.0,Q>>NIL_MRTX5_MRTX4,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,55,27.5,0.10909090909090909,0.0,0.10909090909090909,0.013888888888888888,0.18279569892473121,1.0,0.10909090909090909,0.19424242424242424,-0.08515151515151516,-0.1763888888888889,-0.014516129032258074,0.1090909090909091,0.0,0.0,0.03303030303030303,0.0,0.386060606060606,0.0,0.0,0.0,0.0,CA_BRIS_59712B29_1,0.1090909090909091,0.0,N>>NIL_964_88_S,0.1703030303030303,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,41,20.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04383468834688346,-0.04383468834688346,-0.06851851851851852,-0.03362068965517241,0.0,0.0,0.0,0.0,0.0,0.03245257452574526,0.0,0.0,0.0,0.02276422764227642,N>>NIL_33_34,0.0,0.03245257452574526,N>>NIL_33_34,0.03245257452574526,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,41,20.5,0.18699186991869918,0.0,0.18699186991869918,0.05172413793103448,0.513888888888889,1.0,0.18699186991869918,0.22140921409214095,-0.03441734417344173,-0.20153256704980846,0.36944444444444446,0.18699186991869918,0.0,0.0,0.04227642276422765,0.008130081300813007,0.2521680216802168,0.0,0.0,0.0,0.0,CA_SYDS_57B55E34_1,0.18699186991869918,0.0,N>>NIL_964_88_S,0.1315718157181572,0.004065040650406504
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,near,CA_SYDS_59839EB2,indicative,56,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q>>NIL_MRTX5_MRTX4,0.0,0.0,Q>>NIL_MRTX5_MRTX4,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,near,CA_SYDS_59839EB2,indicative,56,28.0,0.31845238095238093,0.0,0.31845238095238093,0.2733333333333333,0.3548387096774194,1.0,0.3958333333333333,0.2279761904761905,0.16785714285714284,0.07401433691756273,0.2842222222222222,0.5982142857142856,0.0,0.21130952380952378,0.1859623015873016,0.35714285714285715,0.4904761904761904,0.0,0.0,0.0,0.0,CA_SYDS_59839EB2_1,0.300595238095238,0.0,N>>NIL_964_88_S,0.15729166666666666,0.18154761904761904
