ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,near,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,near,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,near,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,near,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,near,2180,-0.00109072375127421,-0.002215192070436449,-0.00025729126211548566,False
N-Q-MNSP1,Directlink,reverse,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,near,2180,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-ARTW_86,N-ARTW_86,near,920,0.0074275362318840564,-0.00039494470774091627,0.02194686426309063,True
N-Q-MNSP1,Directlink,reverse,K2,N-ARTW_86,N-ARTW_86,near,920,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-AVMA_17,N-AVMA_17,near,2508,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-AVMA_17,N-AVMA_17,near,2508,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-CHKS_ONE,N-CHKS_ONE,near,553,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,near,553,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,near,1425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-DTMN_8_15M,N-DTMN_8_15M,near,1425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-LDTM_82,N-LDTM_82,near,2024,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-LDTM_82,N-LDTM_82,near,2024,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-LDTW_84,N-LDTW_84,near,563,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-LDTW_84,N-LDTW_84,near,563,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-TWUL_85,N-TWUL_85,near,770,0.01861471861471861,0.0,0.0454919203054043,True
N-Q-MNSP1,Directlink,reverse,K2,N-TWUL_85,N-TWUL_85,near,770,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_10+76,N-X_10+76,near,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_10+76,N-X_10+76,near,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,near,287,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,near,287,0.0005807200929152149,0.0,0.0019922310756972108,True
N-Q-MNSP1,Directlink,forward,K2,N-X_96T+9UG+9U2,N-X_96T+9UG+9U2,near,64,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_96T+9UG+9U2,N-X_96T+9UG+9U2,near,64,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_9U6_9G2,N-X_9U6_9G2,near,153,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_9U6_9G2,N-X_9U6_9G2,near,153,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,near,437,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,near,437,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,near,133,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,near,133,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,near,339,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,near,339,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,near,46,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,near,46,-0.17983091787439615,-0.3596618357487923,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,near,854,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,near,854,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-BKBM,Q-BKBM,near,1186,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-BKBM,Q-BKBM,near,1186,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-GBMU_835_836,Q-GBMU_835_836,near,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-GBMU_835_836,Q-GBMU_835_836,near,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-LCCP_8859,Q-LCCP_8859,near,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-LCCP_8859,Q-LCCP_8859,near,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-RGLC_8875,Q-RGLC_8875,near,425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-RGLC_8875,Q-RGLC_8875,near,425,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,near,14,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,near,14,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,near,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,near,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,I-BCDM_ONE,I-BCDM_ONE,near,42,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,I-BCDM_ONE,I-BCDM_ONE,near,42,-0.05634920634920635,-0.12417162698412698,0.026666666666666665,True
NSW1-QLD1,QNI,forward,K2,N-ARDM_8C,N-ARDM_8C,near,2568,-0.0001687435098650052,-0.00043845301450487007,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARDM_8C,N-ARDM_8C,near,2568,0.03187629802699896,0.0062185410304974684,0.06592024470724271,False
NSW1-QLD1,QNI,forward,K2,N-ARKS_965,N-ARKS_965,near,297,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARKS_965,N-ARKS_965,near,297,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-ARSR_8E,N-ARSR_8E,near,1071,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARSR_8E,N-ARSR_8E,near,1071,-0.061738769581906834,-0.10580599527729265,-0.022892900488312985,False
NSW1-QLD1,QNI,forward,K2,N-ARTW_86,N-ARTW_86,near,917,0.006797528171573972,-0.0018277364638163832,0.0215773038455447,True
NSW1-QLD1,QNI,reverse,K2,N-ARTW_86,N-ARTW_86,near,917,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-AVMA_17,N-AVMA_17,near,2430,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-AVMA_17,N-AVMA_17,near,2430,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-CHKS_ONE,N-CHKS_ONE,near,561,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,near,561,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-DMSR_8J,N-DMSR_8J,near,786,0.004664970313825276,0.0,0.016243509290020917,True
NSW1-QLD1,QNI,reverse,K2,N-DMSR_8J,N-DMSR_8J,near,786,0.020900480633305057,-0.011843867927497507,0.06561374351305148,True
NSW1-QLD1,QNI,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,near,1305,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DTMN_8_15M,N-DTMN_8_15M,near,1305,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-DTSS_11,N-DTSS_11,near,1477,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DTSS_11,N-DTSS_11,near,1477,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-LDTM_82,N-LDTM_82,near,2085,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-LDTM_82,N-LDTM_82,near,2085,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-LDTW_84,N-LDTW_84,near,552,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-LDTW_84,N-LDTW_84,near,552,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-MA_CB172A,N-MA_CB172A,near,480,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-MA_CB172A,N-MA_CB172A,near,480,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-MPWW_ONE,N-MPWW_ONE,near,770,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-MPWW_ONE,N-MPWW_ONE,near,770,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-TWUL_85,N-TWUL_85,near,664,0.021586345381526102,0.0,0.0513347861755696,True
NSW1-QLD1,QNI,reverse,K2,N-TWUL_85,N-TWUL_85,near,664,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_10+76,N-X_10+76,near,9,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_10+76,N-X_10+76,near,9,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,near,289,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,near,289,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,near,288,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,near,288,0.015625,0.0,0.04963235294117646,True
NSW1-QLD1,QNI,forward,K2,N-X_76_8,N-X_76_8,near,18,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_76_8,N-X_76_8,near,18,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_8E+DM+TW+LS_SVC,N-X_8E+DM+TW+LS_SVC,near,106,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_8E+DM+TW+LS_SVC,N-X_8E+DM+TW+LS_SVC,near,106,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_8U+DM+TW+LS_SVC,N-X_8U+DM+TW+LS_SVC,near,112,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_8U+DM+TW+LS_SVC,N-X_8U+DM+TW+LS_SVC,near,112,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,near,132,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,near,132,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,near,409,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,near,409,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,near,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,near,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,near,46,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,near,46,-0.005797101449275371,-0.011594202898550732,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,near,596,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,near,596,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BCCP_812,Q-BCCP_812,near,80,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BCCP_812,Q-BCCP_812,near,80,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BKBM,Q-BKBM,near,1146,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BKBM,Q-BKBM,near,1146,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BRTX1,Q-BRTX1,near,89,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BRTX1,Q-BRTX1,near,89,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-CPWO_813/1,Q-CPWO_813/1,near,1345,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-CPWO_813/1,Q-CPWO_813/1,near,1345,0.0,0.0,0.0,True
