lead_band,name,direction,n,mae_outlook,mae_zero_change,mae_lastyear
0-7,Basslink,forward,11,44.19842954545454,28.918639848484847,53.332706704545444
0-7,Basslink,reverse,11,64.8323806818182,55.03918606060608,70.19428810606061
0-7,Directlink,forward,17,52.403091764705884,44.00535446078431,59.22848697916667
0-7,Directlink,reverse,19,50.13692407894737,41.96536995614035,42.53262763888889
0-7,Heywood,forward,30,105.29397240277777,146.45774291666666,114.1057898611111
0-7,Heywood,reverse,32,134.8718618489583,178.8104269140625,156.0152735546875
0-7,Murraylink,forward,41,39.47367827235772,25.66580706300813,40.22782158536586
0-7,Murraylink,reverse,25,50.374764866666666,45.1502519,54.82334360000001
0-7,QNI,forward,19,300.71431054824563,170.0763094078947,131.86364122685185
0-7,QNI,reverse,25,205.7005864,324.05107663333337,222.48522409722224
0-7,VNI,forward,24,212.58109963541668,191.29953317708336,224.37455663194444
0-7,VNI,reverse,27,171.58948436728394,244.6743948765432,180.47067163580243
31-90,Basslink,forward,31,133.94924923387097,123.10475848118278,134.57967197580643
31-90,Basslink,reverse,32,138.66836557291668,134.64150263020835,141.050705
31-90,Directlink,forward,31,30.402506760752683,27.419305739247314,28.953406048850574
31-90,Directlink,reverse,44,37.52405229166666,29.455250170454544,35.728732956349205
31-90,Heywood,forward,79,175.64263988396627,170.72629758966244,168.16386823312237
31-90,Heywood,reverse,64,198.30464389322916,175.6276660611979,200.40330376953125
31-90,Murraylink,forward,86,42.17987405523256,31.01493745155039,44.820026540697675
31-90,Murraylink,reverse,61,43.4692087568306,38.71804092896175,45.877722336065574
31-90,QNI,forward,37,241.64417378378374,268.5507921396396,198.4459722261905
31-90,QNI,reverse,35,92.14620795238092,238.57108178571428,220.77032217171723
31-90,VNI,forward,54,212.32520715277784,186.64273837962966,209.44105922839503
31-90,VNI,reverse,69,158.32630466787438,216.37032467995172,147.20052942632847
8-30,Basslink,forward,14,82.79868002976191,77.35202166666667,95.76160979166666
8-30,Basslink,reverse,22,83.84129767045455,82.97804132575757,94.67760867424244
8-30,Directlink,forward,39,55.839080480769226,49.98265858974359,59.4839565491453
8-30,Directlink,reverse,43,49.07470096899225,46.449586511627906,45.66773946705426
8-30,Heywood,forward,70,171.19674341071428,185.1335223154762,168.4438578562802
8-30,Heywood,reverse,63,185.47994601190476,189.91162485449738,188.46554832661292
8-30,Murraylink,forward,47,68.21733699468085,59.772281675531914,71.49854330615942
8-30,Murraylink,reverse,47,62.64828267730496,58.65399345744681,65.28806913949275
8-30,QNI,forward,39,244.29014529914528,171.13852732905985,224.8110656517094
8-30,QNI,reverse,41,170.42106951219512,215.00141787601626,199.65971734756098
8-30,VNI,forward,46,198.71222961050725,197.99023730072463,193.74600375925922
8-30,VNI,reverse,52,191.2887114102564,209.38735097756413,191.27773275326794
91-365,Basslink,forward,22,113.71494212121212,100.97545170454545,114.77230653409089
91-365,Basslink,reverse,19,154.64922245614036,142.91199912280703,153.8809839035088
91-365,Directlink,forward,30,36.17352747222222,34.6494665,35.12201086309524
91-365,Directlink,reverse,30,29.955990500000002,24.79026238888889,27.49071577380953
91-365,Heywood,forward,30,137.88435526388886,163.4730531388889,133.84617984722223
91-365,Heywood,reverse,31,264.3600798924731,149.61882365591399,261.46528416666666
91-365,Murraylink,forward,71,61.055145129107984,47.394559360328635,60.51701863849765
91-365,Murraylink,reverse,31,49.38939850806452,45.60626073924732,49.03671744623656
91-365,QNI,forward,29,290.7163704310345,324.3456109195402,332.64656305555553
91-365,QNI,reverse,30,69.1327958888888,219.29168636111118,148.64747360119046
91-365,VNI,forward,27,299.3763049382717,282.6497974074074,283.76957274691364
91-365,VNI,reverse,42,178.75365870039684,292.2661233730159,172.002348938492
