layer,bin,n,p_mean,y_mean
binding,"(-0.001, 0.02]",15618,0.00891754185177163,0.00932352517036262
binding,"(0.02, 0.05]",11784,0.03278781309479206,0.017852685495587363
binding,"(0.05, 0.1]",8065,0.07251123572177462,0.02761421433786059
binding,"(0.1, 0.2]",4074,0.1343943253984829,0.042496262873523115
binding,"(0.2, 0.3]",416,0.24348019440307636,0.06234539813193197
binding,"(0.3, 0.5]",173,0.3621359265593411,0.14958169856543985
binding,"(0.5, 0.7]",10,0.5721914885497479,0.2
setter,"(-0.001, 0.02]",3745,0.008577708087582432,0.002237582577943291
setter,"(0.02, 0.05]",4112,0.03487300634530257,0.025030848105473593
setter,"(0.05, 0.1]",5799,0.07558383841834548,0.0535033113465664
setter,"(0.1, 0.2]",10486,0.14722092710370482,0.08972175545163961
setter,"(0.2, 0.3]",6150,0.24242762485981312,0.11787676148360879
setter,"(0.3, 0.5]",6020,0.3859139242244504,0.24943567795624497
setter,"(0.5, 0.7]",2673,0.5960973037753214,0.3541310834785989
setter,"(0.7, 1.0]",1076,0.8600036647801377,0.5667149782257807
