as_of,ic,direction,GENCONSETID,embargo_effect,embargo_ci_lo,embargo_ci_hi,rerun_effect,rerun_ci_lo,rerun_ci_hi,rerun_units,embargo_units,agree
2025-10-10 00:00:23,NSW1-QLD1,forward,N-AVMA_17,42.54503541666668,17.984307833333357,82.66278504166661,32.08269333333334,8.072493333333455,66.20864166666668,1167,1184,True
2025-10-10 00:00:23,NSW1-QLD1,reverse,N-AVMA_17,0.9447312500000749,-32.307176666666464,37.668571666666594,-0.41709500000001754,-37.83236333333343,29.563933833333387,1167,1184,True
2025-10-10 00:00:23,NSW1-QLD1,reverse,N-LDTM_82,25.857738333333316,3.5493231666666594,53.303699916666694,20.63091666666662,-7.100647750000137,45.37525000000002,763,807,True
2025-10-10 00:00:23,NSW1-QLD1,forward,N-LDTW_84,-39.23258666666666,-148.29777833333335,24.16360166666668,-486.76400333333333,-552.6252573541667,-383.6312286250001,413,388,False
2025-10-10 00:00:23,NSW1-QLD1,reverse,N-LDTW_84,-33.370645833333356,-138.27573391666664,65.95226620833328,-530.2224,-648.3675683333333,-396.6430616666667,413,388,False
2025-10-10 00:00:23,NSW1-QLD1,forward,N-X_AVMA_SSWW,-230.6560033333333,-412.2809066666666,-15.342290000000048,-224.65040499999995,-412.2809066666666,-99.88094666666666,142,151,True
2025-10-10 00:00:23,NSW1-QLD1,forward,Q-BKBM,-11.784615833333305,-70.01517333333334,47.989488333333384,0.0,-60.24092166666662,120.24544833333334,167,167,True
2025-10-10 00:00:23,NSW1-QLD1,reverse,Q-X_HACL_HATR,-1.2323416666666844,-48.75391666666667,17.902887666666647,-1.5240879166667014,-46.61998804166673,16.732866666666496,502,503,True
2025-10-10 00:00:23,NSW1-QLD1,forward,Q-X_HATR_TWO,-43.98128083333336,-91.28725999999995,-4.1439433333332545,-51.200425833333384,-92.3379666666666,-8.390241666666611,520,517,True
2025-10-10 00:00:23,NSW1-QLD1,reverse,Q-X_HATR_TWO,-5.452875000000176,-48.85010347916672,30.380079583333544,-5.392705833333423,-50.07478500000013,30.29000166666674,520,517,True
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-96L_96R_CB4102,15.033333333333331,-0.39785833333333187,29.103749999999977,16.25,-0.6847183333333362,33.43333333333334,653,693,True
2025-10-10 00:00:23,N-Q-MNSP1,forward,N-AVMA_17,0.9130191666666683,-3.353511125000003,6.590616666666669,3.5500000000000043,-1.0003566666666686,9.233902083333334,1035,1132,True
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-AVMA_17,0.36666666666666714,-4.883333333333326,6.515390000000011,-0.25875333333331696,-7.252083333333333,5.5,1035,1132,True
2025-10-10 00:00:23,N-Q-MNSP1,forward,N-LDTM_82,8.834625000000003,-0.34339112500000163,18.193740062500005,8.20418083333334,2.0410645416666737,15.556126666666668,874,788,True
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-LDTM_82,2.520833333333329,-4.258333333333333,7.866666666666653,-0.4166666666666714,-7.516666666666666,5.139115249999999,874,788,True
2025-10-10 00:00:23,N-Q-MNSP1,forward,N-LDTW_84,25.78635083333333,2.864040000000001,45.44714166666666,-25.67537,-40.9628,-11.951410083333345,413,401,False
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-LDTW_84,-47.094458333333336,-66.80715416666666,-30.42071,-16.94999999999999,-41.23335529166667,-3.983331666666672,413,401,False
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-X_ARKK_CH_CB892A,14.016666666666666,3.8333316666666803,18.671035000000003,14.016666666666666,3.8333316666666803,18.671035000000003,203,203,True
2025-10-10 00:00:23,N-Q-MNSP1,forward,N-X_AVMA_SSWW,-5.433333333333337,-13.639691666666671,4.874036666666676,-5.433333333333337,-13.639691666666671,4.874036666666676,139,139,True
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-X_AVMA_SSWW,11.274534999999998,0.04999999999999716,18.58333333333333,10.533333333333331,-0.9104864166666575,18.308333333333337,139,139,True
2025-10-10 00:00:23,N-Q-MNSP1,forward,N-X_LPSS_MPWW,-0.2709549999999936,-7.4996810416666735,8.356733333333338,0.48769333333332554,-8.466666666666665,8.794583333333325,877,929,True
2025-10-10 00:00:23,N-Q-MNSP1,reverse,N-X_LPSS_MPWW,3.316666666666677,-10.152083333333325,25.183333333333337,2.683333333333337,-10.75833333333334,25.266666666666666,877,929,True
2025-10-10 00:00:23,N-Q-MNSP1,forward,Q-BKBM,19.365152500000004,2.0578533333333304,65.28511083333333,15.731326666666668,1.0811398333333357,65.2854830625,168,168,True
2025-10-10 00:00:23,N-Q-MNSP1,reverse,Q-BKBM,19.775000000000006,-23.49197287499999,40.099999999999994,19.174999999999997,-38.573496666666664,38.083333333333336,168,168,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-AVMA_17,-62.97295000000008,-101.41593750000004,9.28489487500001,-60.09696000000001,-97.93153166666673,10.630826666666634,1124,1171,True
2025-10-10 00:00:23,VIC1-NSW1,forward,N-BABU,-11.02947916666659,-352.1134633333333,98.53395179166655,-88.6441983333334,-674.4960683333333,93.43326833333333,139,134,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-BABU,-187.31399708333333,-268.03914499999996,-121.27471499999999,-149.02135166666667,-215.55729166666669,-37.476162875000256,139,134,True
2025-10-10 00:00:23,VIC1-NSW1,forward,N-BADP,97.01931833333322,51.624238333333324,170.1438016666666,96.54276833333336,51.624238333333324,170.1438016666666,135,135,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-BADP,-142.04873416666663,-339.3043683333333,-41.380043333333276,-148.69293166666677,-339.3043683333333,-41.380043333333276,135,135,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-CNLT_07,-46.86284999999998,-97.03303166666664,-18.16925458333325,-36.25464000000002,-84.91783083333333,-7.849771833333365,1042,1069,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-CTMN_4_WG_CLOSE,-63.61050999999999,-97.10989399999997,-26.77099497916662,-55.78833000000003,-93.07594166666667,-23.410076916666696,2044,2073,True
2025-10-10 00:00:23,VIC1-NSW1,forward,N-CTYS_3L_WG_CLOSE,-62.8612675,-122.0935252916666,9.955294999999978,-49.63089333333335,-109.9207967916666,18.02094833333331,1367,1404,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-CTYS_3L_WG_CLOSE,-65.78127833333338,-115.61928333333333,-22.753142250000085,-63.910819999999944,-103.37409979166671,-30.55862200000003,1367,1404,True
2025-10-10 00:00:23,VIC1-NSW1,forward,N-MNYS_5_WG_CLOSE,-49.31258333333329,-99.62319412500003,-12.00359166666658,-42.90342500000003,-93.534995,-6.405070000000026,2810,2773,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-MNYS_5_WG_CLOSE,5.902721666666764,-34.90698879166663,49.10683170833332,15.58651083333325,-21.451167708333305,54.33436079166666,2810,2773,True
2025-10-10 00:00:23,VIC1-NSW1,forward,N-X_AVMA_SSWW,147.50611166666667,-53.52881833333345,230.46205333333342,152.8893066666667,-53.52881833333345,230.46205333333342,166,166,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-X_AVMA_SSWW,67.86032166666664,-66.3368266666667,154.31143333333335,78.5699391666667,-51.691363333333356,160.35294666666675,166,166,True
2025-10-10 00:00:23,VIC1-NSW1,forward,N-X_LPSS_MPWW,-3.8421758333333287,-70.81131004166667,54.19301824999995,-4.4583258333332765,-60.941486666666606,42.16257499999983,764,684,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,N-X_LPSS_MPWW,-79.7287916666667,-139.7402053333333,5.021008333333327,-102.71222666666674,-165.72346499999995,-30.781367249999974,764,684,True
2025-10-10 00:00:23,VIC1-NSW1,forward,S-TBSE,-78.93215666666674,-137.75173833333326,-15.414601666666613,-65.60253416666677,-104.23851829166658,-22.839195000000018,584,549,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,S-TBSE,-39.72792833333338,-136.65645666666666,18.24309533333328,-6.799413749999957,-84.73847708333335,55.81848518749998,584,549,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-AR_WB_BA,20.52571333333333,-133.80450166666665,215.98390333333333,20.091193333333194,-113.41790833333334,190.0303633333333,153,142,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-BAML1_15M,29.351923333333303,-170.02974750000004,178.50524666666672,16.885161666666676,-202.92673249999996,175.9236183333333,85,85,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,V-BAML1_15M,6.630924999999934,-80.27430170833321,31.118650000000116,21.522203333333266,-80.14739012499989,114.2655749999999,85,85,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,V-CRML,-10.397170416666626,-86.55901666666654,78.75989666666669,27.784554999999955,-8.858460000000008,86.4884381666666,148,148,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-DDMS,-49.240639166666654,-113.46915012499996,-31.44136833333323,-59.04133583333328,-105.13921499999992,2.510623333333336,280,269,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,V-DDMS,-88.89752999999996,-163.67092554166666,-14.708034999999995,-127.97922375000002,-195.18893029166662,-49.93157500000001,280,269,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-KG_WE_RC,134.0636633333333,0.2613500000000002,429.1488633333332,184.35170500000004,12.68688166666675,429.1488633333332,149,149,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,V-KG_WE_RC,-1.7480883333333281,-113.71406000000002,84.12082500000008,-15.957906666666666,-113.71406000000002,59.87424666666675,149,149,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-KMRC,149.19788083333336,81.94456833333334,232.7425066666666,149.19788083333336,84.64674500000001,219.13446166666665,238,238,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-MLSY_NOEMTT_R,-65.6673083333335,-114.65613583333311,-10.008208124999927,-65.34070500000001,-114.04406820833333,-7.09459339583331,1225,1223,True
2025-10-10 00:00:23,VIC1-NSW1,reverse,V-MLSY_NOEMTT_R,77.65577083333334,17.52779666666663,120.46616324999994,87.37161666666657,37.30038833333334,132.37805333333347,1225,1223,True
2025-10-10 00:00:23,VIC1-NSW1,forward,V-MRKM,-2.3135516666666263,-115.46366666666671,133.65883000000008,-7.240198333333325,-115.46366666666671,144.27631416666668,154,151,True
