week,ic,name,direction,outages,supported_rows,largest_reduction_mw,overlap_max,top_binding_eq,top_binding_p
2026-09-07,N-Q-MNSP1,Directlink,forward,1,1,-0.107440000000011,0,N::Q_ARDM_1,0.0303135888501742
2026-09-07,N-Q-MNSP1,Directlink,reverse,1,1,28.30000000000001,0,N>>NIL_966/1,0.0837590155002078
2026-09-07,NSW1-QLD1,QNI,forward,3,0,-568.0765250000001,2,F_Q++8C_L6,0.3688832172628462
2026-09-07,NSW1-QLD1,QNI,reverse,3,1,-11.240007500000049,2,N>>NIL_964_84_S,0.837121212121212
2026-09-07,T-V-MNSP1,Basslink,forward,5,4,0.0,1,F_T++NIL_MRWF_TG_R6,0.0408111916264089
2026-09-07,T-V-MNSP1,Basslink,reverse,5,4,-30.04568666666665,1,F_T++NIL_ML_RECL_L6,0.0351851851851851
2026-09-07,V-S-MNSP1,Murraylink,forward,6,6,-73.85033000000001,13,V^^N_NIL_1,0.0971768929503919
2026-09-07,V-S-MNSP1,Murraylink,reverse,6,6,-34.49999999999999,13,V^^V_BDBU_KGTS,0.1784893689986282
2026-09-07,V-SA,Heywood,forward,6,5,-143.85517375,8,VS_600_TEST,0.081937718590261
2026-09-07,V-SA,Heywood,reverse,6,4,-224.81289125,8,F_S++TBTU_R6,0.0057851239669421
2026-09-07,VIC1-NSW1,VNI,forward,6,1,-253.270005,12,N^^N_NIL_WGLT,0.1968787659677032
2026-09-07,VIC1-NSW1,VNI,reverse,6,4,-189.81618333333336,12,N^^V_BADP_1,0.1128472222222222
2026-09-14,N-Q-MNSP1,Directlink,forward,20,24,-50.86588916666667,21,F_Q++85_L6,0.0375
2026-09-14,N-Q-MNSP1,Directlink,reverse,20,20,-44.11819,21,N>>NIL_964_88_S,0.1191540904848078
2026-09-14,NSW1-QLD1,QNI,forward,30,14,-568.0765250000001,80,N>>NIL_33_34,0.7884399551066217
2026-09-14,NSW1-QLD1,QNI,reverse,30,21,-642.8244658333333,80,N>>NIL_964_84_S,0.8374999999999999
2026-09-14,T-V-MNSP1,Basslink,forward,5,6,-11.322283333333289,3,F_MAIN++BIP_ML_L1,0.0449606040709127
2026-09-14,T-V-MNSP1,Basslink,reverse,5,6,-39.240889999999965,3,V::N_NIL_V2,0.0344734874626178
2026-09-14,V-S-MNSP1,Murraylink,forward,20,14,-238.6901175,26,V^^N_NIL_1,0.0971768929503919
2026-09-14,V-S-MNSP1,Murraylink,reverse,20,17,-38.882649166666674,26,V^^V_BDBU_KGTS,0.2490512967200611
2026-09-14,V-SA,Heywood,forward,19,18,-164.20592333333337,11,VS_600_TEST,0.081937718590261
