ic,name,GENCONSETID,lead_forward,lead_reverse,invoked_share,relevant,excluded_reason
NSW1-QLD1,QNI,#NSW1-QLD1_RAMP_E,12,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#NSW1-QLD1_RAMP_I,98,0,0.000532724505327245,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030702_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030709_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030716_RAMP,10,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030722_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030750_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030754_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030767_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030773_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030795_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030827_RAMP,0,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030834_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030844_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030851_RAMP,5,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030886_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030896_RAMP,5,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030899_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030904_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030910_RAMP,0,12,5.7077625570776254e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030934_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030960_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R030986_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031024_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031029_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031037_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031039_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031041_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031091_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031097_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031101_RAMP,0,4,1.9025875190258754e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031106_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031122_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031135_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031152_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031165_RAMP,6,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031167_RAMP,12,12,5.7077625570776254e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031168_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031171_RAMP,12,12,5.7077625570776254e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031173_RAMP,0,11,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031199_RAMP,5,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031210_RAMP,3,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031237_RAMP,0,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031248_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031249_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031254_RAMP,8,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031262_RAMP,11,11,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031311_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
