ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,setter,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,setter,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,setter,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,setter,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,setter,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,setter,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,setter,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,setter,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,setter,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,setter,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,setter,2180,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,setter,2180,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-ARTW_86,N-ARTW_86,setter,920,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-ARTW_86,N-ARTW_86,setter,920,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-AVMA_17,N-AVMA_17,setter,2508,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-AVMA_17,N-AVMA_17,setter,2508,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-CHKS_ONE,N-CHKS_ONE,setter,553,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,setter,553,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,setter,1425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-DTMN_8_15M,N-DTMN_8_15M,setter,1425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-LDTM_82,N-LDTM_82,setter,2024,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-LDTM_82,N-LDTM_82,setter,2024,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-LDTW_84,N-LDTW_84,setter,563,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-LDTW_84,N-LDTW_84,setter,563,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-TWUL_85,N-TWUL_85,setter,770,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-TWUL_85,N-TWUL_85,setter,770,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_10+76,N-X_10+76,setter,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_10+76,N-X_10+76,setter,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,setter,287,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,setter,287,0.0011614401858304297,0.0,0.0039844621513944216,True
N-Q-MNSP1,Directlink,forward,K2,N-X_96T+9UG+9U2,N-X_96T+9UG+9U2,setter,64,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_96T+9UG+9U2,N-X_96T+9UG+9U2,setter,64,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_9U6_9G2,N-X_9U6_9G2,setter,153,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_9U6_9G2,N-X_9U6_9G2,setter,153,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,setter,437,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,setter,437,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,setter,133,0.0,0.0,0.0,True
