ic,direction,state,half_hours,share,name
N-Q-MNSP1,forward,booked_only,2513,0.07171803652968037,Directlink
N-Q-MNSP1,forward,clear,18425,0.5258276255707762,Directlink
N-Q-MNSP1,forward,invoked_leading,725,0.020690639269406393,Directlink
N-Q-MNSP1,forward,invoked_nonleading,13326,0.3803082191780822,Directlink
N-Q-MNSP1,forward,partial,51,0.0014554794520547946,Directlink
N-Q-MNSP1,reverse,booked_only,2513,0.07171803652968037,Directlink
N-Q-MNSP1,reverse,clear,18425,0.5258276255707762,Directlink
N-Q-MNSP1,reverse,invoked_leading,3528,0.10068493150684932,Directlink
N-Q-MNSP1,reverse,invoked_nonleading,10524,0.30034246575342466,Directlink
N-Q-MNSP1,reverse,partial,50,0.0014269406392694063,Directlink
NSW1-QLD1,forward,booked_only,2876,0.08207762557077626,QNI
NSW1-QLD1,forward,clear,12133,0.34626141552511414,QNI
NSW1-QLD1,forward,invoked_leading,6303,0.17988013698630137,QNI
NSW1-QLD1,forward,invoked_nonleading,13700,0.3909817351598174,QNI
NSW1-QLD1,forward,partial,28,0.0007990867579908676,QNI
NSW1-QLD1,reverse,booked_only,2876,0.08207762557077626,QNI
NSW1-QLD1,reverse,clear,12133,0.34626141552511414,QNI
NSW1-QLD1,reverse,invoked_leading,4215,0.12029109589041095,QNI
NSW1-QLD1,reverse,invoked_nonleading,15781,0.45037100456621004,QNI
NSW1-QLD1,reverse,partial,35,0.0009988584474885844,QNI
T-V-MNSP1,forward,booked_only,358,0.01021689497716895,Basslink
T-V-MNSP1,forward,clear,18329,0.523087899543379,Basslink
T-V-MNSP1,forward,invoked_leading,7930,0.22631278538812785,Basslink
T-V-MNSP1,forward,invoked_nonleading,8387,0.23935502283105023,Basslink
T-V-MNSP1,forward,partial,36,0.0010273972602739725,Basslink
T-V-MNSP1,reverse,booked_only,358,0.01021689497716895,Basslink
T-V-MNSP1,reverse,clear,18329,0.523087899543379,Basslink
T-V-MNSP1,reverse,invoked_leading,6255,0.17851027397260275,Basslink
T-V-MNSP1,reverse,invoked_nonleading,10064,0.28721461187214614,Basslink
T-V-MNSP1,reverse,partial,34,0.0009703196347031963,Basslink
V-S-MNSP1,forward,booked_only,908,0.02591324200913242,Murraylink
V-S-MNSP1,forward,clear,4600,0.1312785388127854,Murraylink
V-S-MNSP1,forward,invoked_leading,8089,0.23085045662100456,Murraylink
V-S-MNSP1,forward,invoked_nonleading,21422,0.6113584474885845,Murraylink
V-S-MNSP1,forward,partial,21,0.0005993150684931507,Murraylink
V-S-MNSP1,reverse,booked_only,908,0.02591324200913242,Murraylink
V-S-MNSP1,reverse,clear,4600,0.1312785388127854,Murraylink
V-S-MNSP1,reverse,invoked_leading,6026,0.17197488584474885,Murraylink
V-S-MNSP1,reverse,invoked_nonleading,23476,0.6699771689497717,Murraylink
V-S-MNSP1,reverse,partial,30,0.0008561643835616438,Murraylink
V-SA,forward,booked_only,1403,0.040039954337899544,Heywood
V-SA,forward,clear,5957,0.17000570776255708,Heywood
V-SA,forward,invoked_leading,10704,0.30547945205479454,Heywood
V-SA,forward,invoked_nonleading,16930,0.483162100456621,Heywood
V-SA,forward,partial,46,0.001312785388127854,Heywood
V-SA,reverse,booked_only,1403,0.040039954337899544,Heywood
V-SA,reverse,clear,5957,0.17000570776255708,Heywood
V-SA,reverse,invoked_leading,8695,0.24814497716894976,Heywood
V-SA,reverse,invoked_nonleading,18941,0.5405536529680365,Heywood
V-SA,reverse,partial,44,0.0012557077625570776,Heywood
VIC1-NSW1,forward,booked_only,115,0.0032819634703196345,VNI
VIC1-NSW1,forward,clear,372,0.010616438356164383,VNI
VIC1-NSW1,forward,invoked_leading,12917,0.36863584474885847,VNI
VIC1-NSW1,forward,invoked_nonleading,21635,0.6174372146118722,VNI
VIC1-NSW1,forward,partial,1,2.8538812785388127e-05,VNI
VIC1-NSW1,reverse,booked_only,115,0.0032819634703196345,VNI
VIC1-NSW1,reverse,clear,372,0.010616438356164383,VNI
VIC1-NSW1,reverse,invoked_leading,10102,0.2882990867579909,VNI
VIC1-NSW1,reverse,invoked_nonleading,24450,0.6977739726027398,VNI
VIC1-NSW1,reverse,partial,1,2.8538812785388127e-05,VNI
