ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,season,Summer,48,0.9305555555555555,0.0,0.9305555555555555,0.07638888888888888,0.3861111111111111
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,day_period,Evening peak,10,0.9333333333333332,0.0,0.9333333333333332,0.3333333333333333,0.331111111111111
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,day_period,Morning peak,6,0.7777777777777778,0.0,0.7777777777777778,0.0,0.2833333333333334
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,day_period,Overnight,18,1.0,0.0,1.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,day_period,Solar period,14,0.9047619047619048,0.0,0.9047619047619048,0.023809523809523808,0.965873015873016
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,tbin,0,1,1.0,0.0,1.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,tbin,1,39,0.9572649572649572,0.0,0.9572649572649572,0.04273504273504273,0.29622507122507125
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,tbin,2,8,0.7916666666666666,0.0,0.7916666666666666,0.24999999999999997,0.8725694444444444
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,vbin,0,11,0.8787878787878788,0.0,0.8787878787878788,0.0,0.7593434343434343
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,vbin,1,33,0.9494949494949496,0.0,0.9494949494949496,0.02525252525252525,0.24351851851851852
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,vbin,2,4,0.9166666666666666,0.0,0.9166666666666666,0.7083333333333333,0.536111111111111
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,rbin,0,11,0.9090909090909091,0.0,0.9090909090909091,0.3333333333333333,0.5618686868686869
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,rbin,1,33,0.9696969696969697,0.0,0.9696969696969697,0.0,0.27735690235690236
