ic,name,direction,level,key,families,layer,GENCONSETID,tier,n_units,treated_hours,own_treated,own_control,own_diff,own_ci_lo,own_ci_hi,treated_coverage,any_treated,any_control,any_diff,any_ci_lo,any_ci_hi,class_own_set_treated,class_own_set_control,class_other_outage_set_treated,class_other_outage_set_control,class_system_normal_other_treated,class_system_normal_other_control,class_fcas_treated,class_fcas_control,class_ramp_discretionary_treated,class_ramp_discretionary_control,top1_treated,top1_treated_share,top1_control_share,top1_control,top1_control_share_c,top1_control_share_t
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,48,24.0,0.9305555555555555,0.0,0.9305555555555555,0.9166666666666665,0.9583333333333333,1.0,0.9965277777777777,0.8617939814814815,0.1347337962962963,0.037934027777777775,0.3283333333333333,0.930555555555556,0.0,0.46874999999999994,1.437673611111111,0.9583333333333333,1.563020833333333,1.3159722222222223,1.554386574074074,0.0,0.07824074074074074,CA_BRIS_5667C22F_1,0.930555555555556,0.0,V^^V_BDBU_KGTS,0.38611111111111107,0.07638888888888888
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,CA_BRIS_5667C22F,unsupported,48,24.0,0.9305555555555555,0.0,0.9305555555555555,0.9166666666666665,0.9583333333333333,1.0,0.9965277777777777,0.8553125,0.14121527777777776,0.037934027777777775,0.3477777777777778,0.930555555555556,0.0,0.46874999999999994,1.3624421296296294,0.9583333333333333,1.5792824074074074,1.3159722222222223,1.6372569444444445,0.0,0.020370370370370372,CA_BRIS_5667C22F_1,0.930555555555556,0.0,V^^V_BDBU_KGTS,0.38611111111111107,0.07638888888888888
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,5,2.5,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.9666666666666666,1.8516666666666668,0.16666666666666666,2.2249999999999996,6.633333333333334,3.7000000000000006,0.0,0.11666666666666667,SVML_ZERO,1.0,0.96,SVML_ZERO,0.96,1.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,5,2.5,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.9666666666666666,1.8516666666666668,0.16666666666666666,2.2249999999999996,6.633333333333334,3.7000000000000006,0.0,0.11666666666666667,SVML_ZERO,1.0,0.96,SVML_ZERO,0.96,1.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,55,27.5,0.09090909090909091,0.0,0.09090909090909091,0.0,0.16129032258064516,1.0,0.7303030303030303,0.8973737373737374,-0.1670707070707071,-0.3797491039426524,0.10763888888888891,0.09090909090909091,0.0,0.1939393939393939,0.5883333333333333,1.3696969696969699,1.6437373737373737,0.13030303030303028,0.7467676767676767,0.01515151515151515,0.06636363636363636,V::N_NIL_V2,0.38181818181818183,0.027424242424242424,VS_HEY_600_TEST,0.3828282828282829,0.3121212121212122
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,55,27.5,0.09090909090909091,0.0,0.09090909090909091,0.0,0.16129032258064516,1.0,0.7303030303030303,0.9064646464646464,-0.17616161616161619,-0.3991039426523298,0.11180555555555556,0.09090909090909091,0.0,0.1939393939393939,0.5635858585858586,1.3696969696969699,1.6400000000000001,0.13030303030303028,0.7772727272727272,0.01515151515151515,0.06636363636363636,V::N_NIL_V2,0.38181818181818183,0.026414141414141414,VS_HEY_600_TEST,0.3791919191919192,0.3121212121212122
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,41,20.5,0.11788617886178861,0.0,0.11788617886178861,0.005747126436781609,0.3888888888888889,1.0,0.9512195121951219,0.9626016260162602,-0.011382113821138224,-0.044444444444444474,0.0022988505747126315,0.11788617886178862,0.0,0.09349593495934957,0.32317073170731714,1.3536585365853657,1.8563008130081304,2.4593495934959355,1.5394308943089432,0.04065040650406504,0.13116531165311654,F_S++TBTU_L6,0.5243902439024393,0.10691056910569106,V^^V_NIL_SWVIC,0.20528455284552852,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,41,20.5,0.11788617886178861,0.0,0.11788617886178861,0.005747126436781609,0.3888888888888889,1.0,0.9512195121951219,0.9626016260162602,-0.011382113821138224,-0.044444444444444474,0.0022988505747126315,0.11788617886178862,0.0,0.09349593495934957,0.32317073170731714,1.3536585365853657,1.8563008130081304,2.4593495934959355,1.5394308943089432,0.04065040650406504,0.13116531165311654,F_S++TBTU_L6,0.5243902439024393,0.10691056910569106,V^^V_NIL_SWVIC,0.20528455284552852,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,56,28.0,0.23809523809523808,0.0,0.23809523809523808,0.23655913978494622,0.24,1.0,0.7291666666666666,0.6202876984126985,0.10887896825396824,-0.01980286738351254,0.26844444444444443,0.23809523809523808,0.0,0.27976190476190477,0.4667658730158729,1.464285714285714,1.054811507936508,0.9821428571428572,0.47961309523809514,0.03571428571428571,0.011904761904761906,VS_HEY_600_TEST,0.46130952380952367,0.23640873015873012,VS_HEY_600_TEST,0.23640873015873012,0.46130952380952367
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,56,28.0,0.23809523809523808,0.0,0.23809523809523808,0.23655913978494622,0.24,1.0,0.7291666666666666,0.6202876984126985,0.10887896825396824,-0.01980286738351254,0.26844444444444443,0.23809523809523808,0.0,0.27976190476190477,0.4667658730158729,1.464285714285714,1.054811507936508,0.9821428571428572,0.47961309523809514,0.03571428571428571,0.011904761904761906,VS_HEY_600_TEST,0.46130952380952367,0.23640873015873012,VS_HEY_600_TEST,0.23640873015873012,0.46130952380952367
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,system,N-96L_96R_CB4102,supported,1597,798.5,0.31204341473596325,0.0002504696305572949,0.31179294510540595,0.23647842603715535,0.3863766020178134,1.0,0.9559590899603422,0.9220635914562026,0.033895498504139705,0.005864775117809317,0.06318524222528128,0.3120434147359622,0.0002504696305572949,0.7339803798789395,0.6293327767341542,1.4685869338342719,1.7820166284004726,2.7134209977040262,2.633148611980797,0.05520768106867042,0.07359458707298405,N>96L_96R_967_89,0.2039240242120632,0.00012523481527864746,S>NIL_MHNW1_MHNW2,0.23320288040075124,0.1558129826758501
