ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,system,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,system,2180,-0.00031855249745158003,-0.0007256167011359889,-5.0022187489587965e-05,False
N-Q-MNSP1,Directlink,reverse,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,system,2180,-0.00031855249745158003,-0.0007256167011359889,-5.0022187489587965e-05,False
N-Q-MNSP1,Directlink,forward,K2,N-ARTW_86,N-ARTW_86,system,920,0.0073822463768115935,-0.0006897770172448549,0.022479017188999428,True
N-Q-MNSP1,Directlink,reverse,K2,N-ARTW_86,N-ARTW_86,system,920,0.0073822463768115935,-0.0006897770172448549,0.022479017188999428,True
