scope,target,calibration_mode,nominal_coverage,empirical_coverage,coverage_gap,mean_width_mw,mean_interval_score,observations,cells,rolling_folds
overall,all targets,period,0.95,0.8740637691861385,-0.07593623081386147,951.7813300181547,2065.2436716247844,910032,192,12
overall,all targets,period,0.8,0.7193296499463755,-0.08067035005362455,565.3431268211407,1143.4031731921891,910032,192,12
overall,all targets,pooled,0.95,0.8990848673453241,-0.05091513265467584,1001.9533325450326,1831.6943576743872,910032,192,12
overall,all targets,pooled,0.8,0.737664170051163,-0.06233582994883702,577.2143529844967,1115.06860483132,910032,192,12
target,export,period,0.95,0.8936520913550293,-0.056347908644970635,889.2943290848278,1695.003780742238,227508,48,12
target,export,period,0.8,0.7380531673611478,-0.061946832638852256,529.555659390932,998.9458576951236,227508,48,12
target,export,pooled,0.95,0.91671062116497,-0.033289378835029915,926.9907208753033,1420.853745085384,227508,48,12
target,export,pooled,0.8,0.7590897902491341,-0.0409102097508659,543.9093686605061,950.8290227194362,227508,48,12
target,export_tight,period,0.95,0.8981881955799357,-0.05181180442006428,965.4907953921155,1759.6246441492592,227508,48,12
target,export_tight,period,0.8,0.7397893700441304,-0.06021062995586968,550.6770121416893,1038.9171117146122,227508,48,12
target,export_tight,pooled,0.95,0.9319584366264043,-0.018041563373595637,1002.9001747477181,1457.2046290845888,227508,48,12
target,export_tight,pooled,0.8,0.7603952388487438,-0.03960476115125622,564.421937338632,983.2423855500333,227508,48,12
target,import,period,0.95,0.8536051479508413,-0.09639485204915865,939.7900582285798,2321.1309143498015,227508,48,12
target,import,period,0.8,0.7019797106035832,-0.09802028939641683,573.5289609232568,1211.9415966260208,227508,48,12
target,import,pooled,0.95,0.8762241327777485,-0.07377586722225149,1003.143916283294,2168.7269338626393,227508,48,12
target,import,pooled,0.8,0.7189241696995271,-0.08107583030047294,580.647177093312,1208.2985493493848,227508,48,12
target,import_tight,period,0.95,0.8508096418587479,-0.0991903581412521,1012.5501373670954,2485.2153472578393,227508,48,12
target,import_tight,period,0.8,0.6974963517766408,-0.10250364822335922,607.6108748286849,1323.8081267329994,227508,48,12
target,import_tight,pooled,0.95,0.8714462788121736,-0.07855372118782633,1074.7785182738153,2279.9921226649367,227508,48,12
target,import_tight,pooled,0.8,0.7122474814072473,-0.08775251859275279,619.878928845537,1317.9044617064253,227508,48,12
