fold,target,band,model,selected,MAPE ≥50 (%),MAPE coverage,MAE (MW; origin-balanced),DR-NMAE (%),>100 MW overstatement,>200 MW overstatement
2025-09,export,0,persistence,False,31.15439407315263,0.9909319196428571,203.5830685004057,36.21539209740829,0.3002232142857143,0.18401227678571427
2025-09,export,0,seasonal_daily,False,36.7247417969209,0.9909319196428571,248.32997042230724,35.94000162294175,0.37806919642857145,0.24762834821428573
2025-09,export,0,seasonal_weekly,False,40.655354723596695,0.9909319196428571,273.8509939719904,38.56875692367261,0.4017857142857143,0.29227120535714285
2025-09,export,0,T0_mae,False,28.742185539624387,0.9909319196428571,193.384839493609,33.37977306618909,0.21010044642857142,0.13295200892857142
2025-09,export,0,T6_mae,True,27.639694617572825,0.9909319196428571,177.3345771924954,27.56065509934838,0.25013950892857145,0.14327566964285715
2025-09,export_tight,0,persistence,False,50.38410241892126,0.9923270089285714,236.54113228036624,50.7495986652012,0.3193359375,0.2099609375
2025-09,export_tight,0,seasonal_daily,False,58.36640145622296,0.9923270089285714,284.02794857719056,49.894022185577576,0.39341517857142855,0.27622767857142855
2025-09,export_tight,0,seasonal_weekly,False,63.4527142894265,0.9923270089285714,317.99960195931857,53.5083758246657,0.4066685267857143,0.31040736607142855
2025-09,export_tight,0,T0_mae,False,46.09269367517317,0.9923270089285714,224.4022360234782,46.90920726571181,0.22670200892857142,0.14997209821428573
2025-09,export_tight,0,T1_mae,False,44.51328830760784,0.9923270089285714,225.18209004582062,45.122661936871715,0.21986607142857142,0.13155691964285715
2025-09,export_tight,0,T2_mae,False,45.41405269122622,0.9923270089285714,227.00116982553993,46.74022752160092,0.23660714285714285,0.14899553571428573
2025-09,export_tight,0,T3_mae,False,45.12715962227118,0.9923270089285714,223.87927134299733,46.58506896677193,0.23116629464285715,0.14773995535714285
2025-09,export_tight,0,T4_mae,False,45.98644405426306,0.9923270089285714,214.14717327356416,44.65035889654524,0.26939174107142855,0.17075892857142858
2025-09,export_tight,0,T5_mae,False,45.57221302838831,0.9923270089285714,237.24163941459582,47.12975889604745,0.236328125,0.15094866071428573
2025-09,export_tight,0,T6_mae,True,44.318118990605136,0.9923270089285714,202.2791118953112,39.09424059630628,0.27036830357142855,0.16615513392857142
2025-09,export_tight,0,T6_dr_nmae,False,45.12922675202567,0.9923270089285714,200.66949806716372,38.930179283050734,0.2880859375,0.18429129464285715
2025-09,export_tight,0,T4_dr_nmae,False,53.2446530139872,0.9923270089285714,238.0210274526399,46.899688519760986,0.43861607142857145,0.27511160714285715
2025-09,import,0,persistence,False,52.029202384464845,0.9700055803571429,159.07979830153766,52.74166942944697,0.240234375,0.12890625
2025-09,import,0,seasonal_daily,False,65.48893291160675,0.9700055803571429,199.94957432232266,65.83850822789881,0.31459263392857145,0.19391741071428573
2025-09,import,0,seasonal_weekly,False,83.17085802465604,0.9700055803571429,255.01987335141402,83.79406079547329,0.38699776785714285,0.26785714285714285
2025-09,import,0,T0_mae,False,50.76435382069286,0.9700055803571429,152.74336751995617,49.97887974581062,0.2470703125,0.12569754464285715
2025-09,import,0,T6_mae,True,49.74523118638718,0.9700055803571429,133.217299916712,45.77601034983988,0.29227120535714285,0.13853236607142858
2025-09,import_tight,0,persistence,False,71.67892524011053,0.9665178571428571,204.272366864395,70.24366493196759,0.26632254464285715,0.15625
2025-09,import_tight,0,seasonal_daily,False,87.95440236535525,0.9665178571428571,246.96608074594346,87.8609310383622,0.32784598214285715,0.20786830357142858
2025-09,import_tight,0,seasonal_weekly,False,104.51321559030322,0.9665178571428571,293.95476217489573,105.48875139630864,0.39341517857142855,0.28111049107142855
2025-09,import_tight,0,T0_mae,False,69.18433062869597,0.9665178571428571,196.31083064340868,67.39551043792687,0.2613002232142857,0.15080915178571427
2025-09,import_tight,0,T1_mae,False,69.16831097800755,0.9665178571428571,196.23739957249737,67.35753325617905,0.26171875,0.15066964285714285
2025-09,import_tight,0,T2_mae,False,68.50745047923596,0.9665178571428571,194.10761788725372,66.75472162530117,0.25753348214285715,0.14913504464285715
2025-09,import_tight,0,T3_mae,False,68.87884489963271,0.9665178571428571,194.96480518344276,66.98000692099859,0.259765625,0.1494140625
2025-09,import_tight,0,T4_mae,False,68.77969638834863,0.9665178571428571,195.5798807253019,67.24081353148645,0.25795200892857145,0.14899553571428573
2025-09,import_tight,0,T5_mae,False,69.49531293977066,0.9665178571428571,194.6166527378992,67.80598296232598,0.2646484375,0.14411272321428573
2025-09,import_tight,0,T6_mae,True,63.5889105097941,0.9665178571428571,164.4036153802922,58.03494625492496,0.3071986607142857,0.16336495535714285
2025-09,import_tight,0,T6_dr_nmae,False,62.93862574615201,0.9665178571428571,165.34497950277503,58.117317968902825,0.294921875,0.15485491071428573
2025-09,import_tight,0,T0_dr_nmae,False,76.7437802332016,0.9665178571428571,198.12833606585264,66.98667968982825,0.396484375,0.20452008928571427
2025-09,export,1,persistence,False,41.96273610039681,0.9907341411261582,283.331899614841,45.23076384060628,0.38310762651461155,0.27619387027797576
2025-09,export,1,seasonal_daily,False,37.98023874128409,0.9907341411261582,260.97359598233214,36.262385663125336,0.38774055595153245,0.26585887384176765
2025-09,export,1,seasonal_weekly,False,41.1937836395427,0.9907341411261582,278.17458894640754,38.67762642475758,0.4069850320741269,0.2975766215253029
2025-09,export,1,T0_mae,False,35.203659963159176,0.9907341411261582,253.3386770742765,40.15008281232488,0.23200285103349966,0.1511047754811119
2025-09,export,1,T6_mae,True,33.26900437724339,0.9907341411261582,214.69070063234687,30.537325283510867,0.3442622950819672,0.22238061297220243
2025-09,export_tight,1,persistence,False,67.21139795525266,0.99215965787598,327.39177454063605,63.575282540568466,0.40555951532430506,0.29900213827512473
2025-09,export_tight,1,seasonal_daily,False,61.120856516882164,0.99215965787598,299.40354367844526,51.348334062477605,0.4069850320741269,0.2940128296507484
2025-09,export_tight,1,seasonal_weekly,False,64.43985546087659,0.99215965787598,323.67375068551235,53.828375859271404,0.41304347826086957,0.3164647184604419
2025-09,export_tight,1,T0_mae,False,55.23281992337573,0.99215965787598,292.1229502662563,56.19124966188059,0.24768353528153955,0.16749821810406273
2025-09,export_tight,1,T6_mae,True,53.28133516808767,0.99215965787598,244.40345904579988,41.218738917798845,0.3770491803278688,0.26122594440484675
2025-09,import,1,persistence,False,72.32948018308217,0.9693513898788311,226.1676917991755,75.33125324294933,0.3360655737704918,0.2045616535994298
2025-09,import,1,seasonal_daily,False,71.53246150847916,0.9693513898788311,215.5087677173145,71.52039534372024,0.32287954383464007,0.20990734141126158
2025-09,import,1,seasonal_weekly,False,84.0009383939688,0.9693513898788311,256.7555976160188,82.81433291942206,0.3848895224518888,0.26585887384176765
2025-09,import,1,T0_mae,True,69.71559360462024,0.9693513898788311,213.18651852197954,69.16690953521196,0.35210263720598717,0.2045616535994298
2025-09,import,1,T6_mae,False,66.00289157973806,0.9693513898788311,175.39378276007858,62.50159232851546,0.38310762651461155,0.2106200997861725
2025-09,import_tight,1,persistence,False,94.45004546080736,0.966143977191732,268.54217731802123,93.41695139263695,0.349607982893799,0.22950819672131148
2025-09,import_tight,1,seasonal_daily,False,95.08176423027243,0.966143977191732,260.5426193816254,95.37759941203106,0.33499643620812547,0.22238061297220243
2025-09,import_tight,1,seasonal_weekly,False,105.71680162782813,0.966143977191732,295.6901830883392,104.57506995637718,0.39059158945117606,0.2794012829650748
2025-09,import_tight,1,T0_mae,True,89.3159364523317,0.966143977191732,253.47622932159717,87.66747887767586,0.34640057020669995,0.22059871703492517
2025-09,import_tight,1,T6_mae,False,79.2816467829472,0.966143977191732,200.04369581793975,73.84285497073886,0.38417676407697793,0.23877405559515325
