scope,target,calibration_mode,nominal_coverage,empirical_coverage,coverage_gap,mean_width_mw,mean_interval_score,observations,cells,rolling_folds
overall,all targets,period,0.95,0.9052626720818608,-0.044737327918139114,1117.9401501411664,1792.13616151639,910032,192,12
overall,all targets,period,0.8,0.7413574467711026,-0.05864255322889744,668.3847616693976,1148.1187540368817,910032,192,12
overall,all targets,pooled,0.95,0.9235334581641085,-0.026466541835891477,1200.2059620973068,1841.7422334105477,910032,192,12
overall,all targets,pooled,0.8,0.7614050934472634,-0.038594906552736674,680.1602577646487,1161.3380773629349,910032,192,12
target,export,period,0.95,0.9014935738523481,-0.04850642614765188,1109.5726807296955,1773.177610559435,227508,48,12
target,export,period,0.8,0.736000492290381,-0.06399950770961904,683.4977051782108,1176.3053545953944,227508,48,12
target,export,pooled,0.95,0.9205698261160047,-0.02943017388399527,1194.056885055879,1818.4446063315638,227508,48,12
target,export,pooled,0.8,0.7574678692617403,-0.04253213073825979,703.4078046110889,1188.680516284088,227508,48,12
target,export_tight,period,0.95,0.9011814969143942,-0.04881850308560576,1208.0696279087842,1912.6018794443298,227508,48,12
target,export_tight,period,0.8,0.7379784447140321,-0.06202155528596798,735.6281815695911,1265.808162800623,227508,48,12
target,export_tight,pooled,0.95,0.9185742918930323,-0.031425708106967654,1297.5032621643763,1982.8747233224706,227508,48,12
target,export_tight,pooled,0.8,0.7576656645041053,-0.042334335495894715,756.9316135637863,1284.508019672768,227508,48,12
target,import,period,0.95,0.9082405893419132,-0.04175941065808675,1006.0235566685413,1613.663238284831,227508,48,12
target,import,period,0.8,0.7465759445821686,-0.05342405541783146,599.5033219921619,1014.0532447263143,227508,48,12
target,import,pooled,0.95,0.9270311373665981,-0.02296886263340181,1082.401378689105,1664.9712929998866,227508,48,12
target,import,pooled,0.8,0.7633621674842204,-0.03663783251577968,598.528694872423,1024.5107030873326,227508,48,12
target,import_tight,period,0.95,0.9101350282187879,-0.039864971781212066,1148.0947352576445,1869.1019177769645,227508,48,12
target,import_tight,period,0.8,0.7448749054978286,-0.0551250945021714,654.9098379376267,1136.3082540251944,227508,48,12
target,import_tight,pooled,0.95,0.9279585772807989,-0.022041422719201065,1226.862322479867,1900.6783109882697,227508,48,12
target,import_tight,pooled,0.8,0.7671246725389876,-0.032875327461012405,661.7729180112972,1147.6530704075515,227508,48,12
