PLANT,OWNER_OR_COUNTERPARTY,REGIME_PERIOD,PHYSICAL_EXPORT_DIVERTIBILITY,DISCLOSED_CONTRACTED_HEDGED_SHARE_LOW,DISCLOSED_CONTRACTED_HEDGED_SHARE_HIGH,DISCLOSED_UNCOVERED_SHARE_LOW,DISCLOSED_UNCOVERED_SHARE_HIGH,DISCLOSED_MARKET_PRICED_CONTRACT_SHARE,MARKET_BENCHMARK,RECOMMENDED_MODEL_WEIGHT,WEIGHT_MEANING,CONFIDENCE,SOURCE_IDS,SOURCE_URL,NOTES
Bayswater,AGL,FY25 historical disclosure,MIXED; WILPINJONG_EXPORT_CAPABLE,0.75,0.75,,,,NONE_DISCLOSED,,NO_FUTURE_WEIGHT_INFERRED,HIGH_FOR_HISTORICAL_COVERAGE; LOW_FOR_PRICE_EXPOSURE,S50,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/news-centre/2025/250212-2025-half-year-results-presentation.pdf,"About 75% was Wilpinjong contract coverage for FY25. This is a historical physical procurement share, not international price exposure."
Bayswater,AGL,FY26 contracting update and forward years,MIXED; LOWER_QUALITY_COAL_CAPABILITY,,,,,,DISCOUNT_TO_NEWCASTLE_DISCLOSED_FOR_SOME_SUPPLY,,UNKNOWN_EFFECTIVE_PRICE_BETA,LOW,S02;S49,https://announcements.asx.com.au/asxpdf/20250813/pdf/06mtcw5jhkzf4t.pdf | https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2026/260812-fy26-results-presentation-1.pdf,"AGL disclosed 2.9Mt contracted during FY26 but no delivery years, source allocation, benchmark slope or replacement status. Do not divide 2.9Mt by one year of burn or apply the old 0.6375 beta."
Eraring,Origin Energy,FY27 as disclosed April 2026,MIXED; MYUNA_LANDLOCKED,0.75,0.85,0.15,0.25,,LARGELY_DISCOUNTED_NEWCASTLE_6000_WITH_HEDGES,,UNCOVERED_PROCUREMENT_BAND_NOT_EXPORT_BETA,MEDIUM_FOR_COVERAGE; LOW_FOR_PRICE_BETA,S05;S06;S08,https://announcements.asx.com.au/asxpdf/20260427/pdf/06ywbyxms9scmn.pdf | https://www.originenergy.com.au/about/investors-media/origin-and-centennial-agree-supply-from-myuna-colliery/ | https://www.aph.gov.au/Parliamentary_Business/Hansard/Hansard_Display?bid=committees%2Fcommsen%2F27922%2F&sid=0000,"Coverage includes opening stock plus contracted/hedged coal. The 15-25% complement is exposed procurement volume, but its eventual price slope and physical mine mix are unknown."
Mt Piper,EnergyAustralia / CLP,Current multi-mine regime,WESTERN_COAL_SYSTEM_HAS_EXPORT_ROUTE,,,,,,CONFIDENTIAL_DOMESTIC_CONTRACT,,UNKNOWN,LOW,S10;S16;S54;S55,https://www.energyaustralia.com.au//about-us/media/news/energyaustralia-accelerates-investment-energy-supply-reliability-following-2022 | https://www.clpgroup.com/content/dam/clp-group/channels/investor/document/3-2-results---presentations/2025/CLP%20Holdings_2025%20Annual%20Results%20Analyst%20Briefing_Transcript.pdf.coredownload.pdf | https://www.banpu.com/wp-content/uploads/2026/03/BANPU_OR_2025_EN_LINK_260308_web.pdf | https://www.clpgroup.com/content/dam/clp-group/channels/investor/document/3-3-financial-reports/2025/e_2025%20Annual%20Report.pdf,Supplier-wide exports cannot be used as the station denominator. No public mine allocation or index formula found.
Vales Point B,Delta Electricity,Current,CHAIN_VALLEY_RESTRICTED_TO_VALES_POINT; EXTERNAL_UNKNOWN,,,,,,NONE_DISCLOSED,,UNKNOWN,LOW,S17;S18;S19,https://www.deltapae.com.au/operations/chain-valley-colliery/chain-valley-colliery-environment/consolidation-project | https://www.ipcn.nsw.gov.au/news/chain-valley-colliery-consolidation-project-approved-limited-supplying-vales-point-power | https://www.ipcn.nsw.gov.au/sites/default/files/2026-02/Chain%20Valley%20Colliery%20Consolidation%20Project_Applicant%20meeting%20transcript.pdf,Approximate 50% Chain Valley is a tonne supply share. The external half is not proven export-indexed.
Stanwell PS,Stanwell / Coronado Curragh,ACSA through expected H1 2027,CURRAGH_EXPORT_CAPABLE,1,1,0,0,0,FIXED_ABOUT_AUD40_PER_TONNE; REBATE_WAIVED,0,POSITIVE_DIRECT_EXPORT_PRICE_WEIGHT,MEDIUM_HIGH,S51;S52,https://www.sec.gov/Archives/edgar/data/1770561/000110465925102549/tm2529515d2_ex99-1.htm | https://www.sec.gov/Archives/edgar/data/1770561/000110465925116582/tm2532291d1_8k.htm,"Export rebates are waived from January 2026 to ACSA expiry. Historical rebates made net fuel cost fall as export prices rose, which is inverse exposure."
Stanwell PS,Stanwell / Coronado Curragh,NCSA plus transaction from expected H1 2027,CURRAGH_EXPORT_CAPABLE,1,1,0,0,0.13333333333333333,0.4MTPA MARKET_OR_SEABORNE_PRICED_WITHIN_3.0MTPA_PACKAGE,0.13333333333333333,CONTRACT_PACKAGE_MARKET_PRICED_SHARE,MEDIUM_HIGH_FOR_SHARE; MEDIUM_FOR_EFFECTIVE_BETA,S20;S51;S52,https://www.sec.gov/Archives/edgar/data/1770561/000110465926046838/tm264496d1_ars.pdf | https://www.sec.gov/Archives/edgar/data/1770561/000110465925102549/tm2529515d2_ex99-1.htm | https://www.sec.gov/Archives/edgar/data/1770561/000110465925116582/tm2532291d1_8k.htm,"2.2Mtpa is approximately A$50/t and 0.8Mtpa is half fixed/half market. The 13.3% weight is a disclosed package share, not a fully specified delivered Newcastle beta."
Tarong,Stanwell,Current captive Meandu regime,NO_ROUTINE_DIVERSION_MODELLED,1,1,0,0,0,CAPTIVE_MINE_COST,0,NEAR_TERM_MODEL_WEIGHT,MEDIUM,S23;S24;S25,https://www.stanwell.com/meandu-mine | https://nrw.com.au/golding-awarded-stanwell-meandu-mine-contract/ | https://announcements.asx.com.au/asxpdf/20260219/pdf/06wgt7sqywy861.pdf,Dedicated mine and conveyor support zero direct international coal-price weight; mining cost can still escalate.
Tarong North,Stanwell,Current captive Meandu regime,NO_ROUTINE_DIVERSION_MODELLED,1,1,0,0,0,CAPTIVE_MINE_COST,0,NEAR_TERM_MODEL_WEIGHT,MEDIUM,S23;S24;S25,https://www.stanwell.com/meandu-mine | https://nrw.com.au/golding-awarded-stanwell-meandu-mine-contract/ | https://announcements.asx.com.au/asxpdf/20260219/pdf/06wgt7sqywy861.pdf,Dedicated mine and conveyor support zero direct international coal-price weight; mining cost can still escalate.
Kogan Creek,CS Energy,Current captive regime,NO_ROUTINE_DIVERSION_MODELLED,1,1,0,0,0,CAPTIVE_MINE_COST,0,NEAR_TERM_MODEL_WEIGHT,MEDIUM,S27;S28;S53,https://www.csenergy.com.au/what-we-do/thermal-generation/kogan-creek-power-station | https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202022%20ONLINE.pdf.aspx | https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202025%20FULL%20COLOUR%2020250926.pdf.aspx,Captive adjacent mine. Public reporting does not disclose a change to an international index.
